ticket_id,customer_id,created_at,resolved_at,category,status,cs_rep_id,first_response_mins,resolution_mins
153,1736,2023-11-09,2023-11-09,usage_question,closed,29,108,0
154,60,2024-03-26,2024-03-26,usage_question,closed,47,93,0
155,1522,2024-11-27,2024-11-27,usage_question,closed,45,16,0
156,785,2023-12-15,2023-12-15,bug,closed,19,228,0
157,1092,2024-10-09,2024-10-09,usage_question,closed,4,106,0
158,1168,2024-05-19,2024-05-24,feature_request,closed,2,71,7200
159,1176,2024-07-14,2024-07-14,feature_request,closed,24,222,0
160,500,2024-07-27,2024-07-31,feature_request,closed,33,239,5760
161,1056,2024-01-20,2024-01-20,bug,closed,7,68,0
162,250,2024-04-26,2024-05-02,bug,closed,14,128,8640
163,1353,2024-05-15,2024-05-15,bug,closed,10,54,0
164,413,2023-12-08,2023-12-08,bug,closed,15,158,0
165,1980,2024-01-05,2024-01-07,usage_question,closed,45,185,2880
166,281,2024-03-03,2024-03-03,usage_question,closed,8,240,0
167,935,2024-11-15,2024-11-15,bug,closed,2,156,0
168,1334,2023-07-12,2023-07-15,usage_question,closed,11,125,4320
169,1167,2024-04-14,2024-04-18,bug,closed,33,75,5760
170,335,2024-04-15,2024-04-15,feature_request,closed,31,144,0
171,1206,2024-10-25,2024-11-01,billing,closed,3,166,10080
172,1236,2024-08-03,2024-08-03,other,closed,7,87,0
173,1758,2024-09-22,2024-09-22,usage_question,closed,50,206,0
174,354,2024-03-04,2024-03-11,bug,closed,34,27,10080
175,915,2024-05-11,2024-05-11,usage_question,closed,49,72,0
176,1720,2024-02-22,2024-02-24,feature_request,closed,22,150,2880
177,421,2024-10-05,2024-10-05,bug,closed,35,67,0
178,1151,2024-05-28,2024-05-28,usage_question,closed,19,155,0
179,1701,2024-08-10,2024-08-10,bug,closed,13,34,0
180,370,2024-11-24,2024-11-29,other,closed,2,124,7200
181,224,2024-06-25,2024-07-01,feature_request,closed,13,43,8640
182,1522,2024-12-05,2024-12-05,other,closed,46,207,0
183,1547,2024-03-26,2024-03-26,bug,closed,37,150,0
184,804,2023-11-13,2023-11-15,usage_question,closed,36,32,2880
185,1215,2024-09-29,2024-09-30,bug,closed,30,218,1440
186,618,2024-08-08,2024-08-08,usage_question,closed,32,233,0
187,678,2024-08-27,2024-08-27,billing,closed,21,171,0
188,1193,2024-10-02,2024-10-02,usage_question,closed,24,73,0
189,1150,2024-06-07,2024-06-09,bug,closed,31,179,2880
190,1041,2024-05-04,2024-05-04,other,closed,12,76,0
191,641,2024-02-27,2024-02-28,usage_question,closed,15,94,1440
192,1796,2024-12-01,2024-12-05,bug,closed,7,178,5760
193,1252,2024-04-16,2024-04-16,usage_question,closed,9,34,0
194,61,2024-04-27,2024-04-27,usage_question,closed,50,71,0
195,1345,2024-11-24,2024-11-24,bug,closed,16,96,0
196,1711,2023-12-14,2023-12-18,bug,closed,4,183,5760
197,1830,2023-02-03,2023-02-03,bug,closed,33,146,0
198,236,2024-03-19,2024-03-24,bug,closed,35,93,7200
199,1756,2024-10-11,2024-10-18,usage_question,closed,26,48,10080
200,832,2023-12-27,2023-12-28,bug,closed,45,194,1440
201,65,2024-05-18,2024-05-20,usage_question,closed,46,45,2880
202,1118,2024-11-11,2024-11-11,other,closed,20,153,0
203,1129,2024-05-28,2024-05-28,bug,closed,11,77,0
204,1257,2024-10-08,2024-10-14,bug,closed,38,150,8640
205,1671,2023-12-16,2023-12-16,feature_request,closed,10,125,0
206,151,2024-06-14,2024-06-17,other,closed,14,68,4320
207,862,2024-06-09,2024-06-12,usage_question,closed,30,69,4320
208,232,2024-05-14,2024-05-14,feature_request,closed,34,188,0
209,1452,2024-10-29,2024-11-05,other,closed,14,235,10080
210,491,2024-04-20,2024-04-27,bug,closed,2,34,10080
211,1405,2024-02-29,2024-02-29,bug,closed,36,182,0
212,288,2024-10-08,2024-10-08,feature_request,closed,15,233,0
213,1036,2024-04-13,2024-04-20,usage_question,closed,23,124,10080
214,518,2023-10-20,2023-10-20,usage_question,closed,8,182,0
215,1301,2024-10-23,2024-10-23,bug,closed,24,227,0
216,1110,2023-11-15,2023-11-18,usage_question,closed,38,123,4320
217,1694,2023-11-20,2023-11-22,billing,closed,15,53,2880
218,1526,2024-03-25,2024-03-27,bug,closed,29,92,2880
219,276,2024-02-21,2024-02-21,other,closed,8,138,0
220,649,2024-06-18,2024-06-20,usage_question,closed,24,207,2880
221,243,2024-10-21,2024-10-27,usage_question,closed,12,137,8640
222,636,2024-11-05,2024-11-05,bug,closed,16,81,0
223,1232,2024-03-27,2024-04-01,usage_question,closed,13,106,7200
224,513,2024-05-01,2024-05-08,billing,closed,15,56,10080
225,190,2024-12-28,2024-12-28,bug,closed,25,84,0
226,826,2024-10-28,2024-10-28,other,closed,4,240,0
227,97,2024-06-20,2024-06-20,usage_question,closed,40,226,0
228,1072,2024-12-11,2024-12-17,bug,closed,12,132,8640
229,1847,2024-12-23,2024-12-25,usage_question,closed,18,187,2880
230,1480,2024-08-11,2024-08-11,bug,closed,4,155,0
231,13,2024-07-31,2024-08-06,usage_question,closed,5,138,8640
232,1182,2024-11-28,2024-12-02,billing,closed,3,177,5760
233,976,2024-04-20,2024-04-23,bug,closed,4,141,4320
234,542,2023-10-10,2023-10-10,usage_question,closed,21,88,0
235,906,2024-12-10,2024-12-16,bug,closed,31,144,8640
236,570,2023-11-16,2023-11-21,usage_question,closed,29,74,7200
237,1282,2024-10-03,2024-10-08,bug,closed,33,227,7200
238,139,2024-06-09,2024-06-09,bug,closed,10,42,0
239,39,2024-04-16,2024-04-23,bug,closed,38,219,10080
240,756,2024-03-26,2024-03-27,bug,closed,26,99,1440
241,1779,2024-05-06,2024-05-12,other,closed,27,40,8640
242,170,2024-07-05,2024-07-05,bug,closed,13,124,0
243,982,2024-09-02,2024-09-05,feature_request,closed,2,181,4320
244,1803,2024-12-06,2024-12-06,other,closed,40,237,0
245,1883,2024-11-15,2024-11-15,bug,closed,1,197,0
246,1204,2024-02-05,2024-02-06,billing,closed,10,177,1440
247,1823,2024-09-12,2024-09-13,other,closed,21,155,1440
248,1379,2024-11-18,2024-11-18,bug,closed,31,89,0
249,1325,2024-05-16,2024-05-16,other,closed,42,140,0
250,1939,2024-10-07,2024-10-10,billing,closed,6,117,4320
251,1735,2024-07-23,2024-07-23,billing,closed,47,228,0
252,1985,2024-11-30,2024-12-07,bug,closed,15,46,10080
253,1135,2024-10-14,2024-10-14,bug,closed,32,135,0
254,1861,2024-12-03,2024-12-03,bug,closed,40,113,0
255,358,2024-11-30,2024-12-04,usage_question,closed,44,224,5760
256,1218,2023-04-22,2023-04-22,billing,closed,44,207,0
257,140,2024-03-06,2024-03-12,bug,closed,39,56,8640
258,1952,2024-11-14,2024-11-14,billing,closed,17,26,0
259,872,2024-08-20,2024-08-22,feature_request,closed,19,101,2880
260,1797,2024-10-06,2024-10-06,usage_question,closed,44,86,0
261,61,2024-08-29,2024-09-04,usage_question,closed,15,155,8640
262,1939,2024-06-24,2024-06-24,usage_question,closed,20,132,0
263,1082,2024-10-25,2024-10-27,bug,closed,40,51,2880
264,684,2024-09-15,2024-09-20,usage_question,closed,38,218,7200
265,1723,2024-05-01,2024-05-01,feature_request,closed,38,100,0
266,1860,2024-04-28,2024-04-28,usage_question,closed,24,66,0
267,1989,2024-12-08,2024-12-10,bug,closed,29,69,2880
268,1014,2024-09-11,2024-09-11,usage_question,closed,38,88,0
269,1594,2023-12-11,2023-12-11,feature_request,closed,16,132,0
270,179,2024-04-05,2024-04-11,usage_question,closed,11,132,8640
271,166,2024-06-16,2024-06-19,other,closed,27,38,4320
272,301,2024-09-29,2024-09-29,bug,closed,10,96,0
273,789,2024-01-10,2024-01-17,other,closed,33,77,10080
274,1821,2024-07-12,2024-07-12,usage_question,closed,3,53,0
275,262,2023-11-28,2023-12-03,billing,closed,13,51,7200
276,116,2024-08-03,2024-08-05,usage_question,closed,40,33,2880
277,165,2024-11-28,2024-11-30,usage_question,closed,50,130,2880
278,1898,2024-09-17,2024-09-17,usage_question,closed,27,25,0
279,1894,2024-08-07,2024-08-08,feature_request,closed,16,92,1440
280,159,2024-12-20,2024-12-27,usage_question,closed,15,238,10080
281,1524,2024-11-09,2024-11-13,usage_question,closed,42,235,5760
282,1823,2024-03-18,2024-03-23,bug,closed,8,191,7200
283,936,2024-08-06,2024-08-06,bug,closed,26,169,0
284,1656,2024-12-05,2024-12-05,feature_request,closed,49,131,0
285,1161,2024-08-22,2024-08-22,billing,closed,40,101,0
286,755,2024-12-21,2024-12-27,usage_question,closed,44,15,8640
287,956,2024-06-01,2024-06-06,usage_question,closed,25,20,7200
288,1017,2024-11-08,2024-11-08,usage_question,closed,39,130,0
289,128,2024-10-23,2024-10-23,usage_question,closed,48,160,0
290,785,2024-02-27,2024-03-01,bug,closed,32,159,4320
291,71,2024-04-28,2024-04-28,other,closed,13,208,0
292,1226,2023-11-03,2023-11-04,usage_question,closed,47,81,1440
293,1285,2024-03-11,2024-03-14,billing,closed,38,73,4320
294,67,2024-01-13,2024-01-13,usage_question,closed,20,53,0
295,1199,2023-12-12,2023-12-12,usage_question,closed,36,149,0
296,782,2024-10-17,2024-10-17,billing,closed,50,159,0
297,1442,2024-05-21,2024-05-21,billing,closed,34,86,0
298,281,2024-07-28,2024-08-04,usage_question,closed,27,54,10080
299,1152,2024-08-09,2024-08-09,usage_question,closed,23,188,0
300,778,2024-12-12,2024-12-13,usage_question,closed,11,53,1440
301,1173,2024-06-23,2024-06-27,bug,closed,39,193,5760
302,768,2024-02-25,2024-03-01,bug,closed,33,34,7200
303,464,2024-11-19,2024-11-19,usage_question,closed,22,52,0
304,748,2024-10-25,2024-10-26,bug,closed,4,67,1440
305,1079,2024-07-17,2024-07-19,usage_question,closed,47,97,2880
306,656,2024-12-29,2025-01-01,bug,open,3,212,4320
307,977,2024-08-28,2024-08-31,bug,closed,8,220,4320
308,978,2024-02-12,2024-02-12,billing,closed,5,111,0
309,374,2023-08-16,2023-08-19,usage_question,closed,21,235,4320
310,1388,2024-07-24,2024-07-24,other,closed,49,153,0
311,1510,2024-07-25,2024-07-30,usage_question,closed,5,201,7200
312,322,2024-07-14,2024-07-14,usage_question,closed,5,17,0
313,959,2024-01-21,2024-01-21,billing,closed,30,82,0
314,767,2024-08-21,2024-08-28,billing,closed,13,120,10080
315,725,2024-10-06,2024-10-06,other,closed,16,159,0
316,880,2024-12-13,2024-12-13,bug,closed,3,149,0
317,1484,2023-12-31,2024-01-02,bug,closed,31,29,2880
318,1481,2024-08-05,2024-08-05,bug,closed,48,223,0
319,975,2024-10-21,2024-10-26,bug,closed,9,198,7200
320,749,2024-12-29,2024-12-29,billing,closed,44,59,0
321,1218,2024-08-06,2024-08-08,billing,closed,5,234,2880
322,1208,2023-09-19,2023-09-22,feature_request,closed,45,63,4320
323,142,2024-11-01,2024-11-06,other,closed,7,50,7200
324,428,2024-02-23,2024-02-24,feature_request,closed,23,192,1440
325,451,2024-04-17,2024-04-23,bug,closed,38,224,8640
326,410,2024-10-02,2024-10-02,bug,closed,1,173,0
327,1187,2024-09-27,2024-09-27,billing,closed,43,221,0
328,1256,2024-07-26,2024-07-26,other,closed,3,161,0
329,724,2024-11-16,2024-11-16,usage_question,closed,18,50,0
330,462,2024-12-25,2024-12-29,usage_question,closed,15,121,5760
331,1070,2024-01-18,2024-01-21,billing,closed,34,167,4320
332,507,2024-09-03,2024-09-07,bug,closed,43,160,5760
333,179,2024-12-08,2024-12-10,usage_question,closed,31,181,2880
334,578,2024-09-21,2024-09-23,feature_request,closed,14,24,2880
335,1505,2024-06-28,2024-06-30,usage_question,closed,11,67,2880
336,1408,2023-07-25,2023-07-25,usage_question,closed,4,32,0
337,708,2024-12-06,2024-12-06,billing,closed,18,236,0
338,1032,2024-11-03,2024-11-04,other,closed,37,157,1440
339,344,2024-08-04,2024-08-04,other,closed,6,106,0
340,10,2024-07-02,2024-07-02,feature_request,closed,3,188,0
341,1874,2024-06-15,2024-06-21,feature_request,closed,29,177,8640
342,1286,2024-05-21,2024-05-21,feature_request,closed,34,85,0
343,254,2024-07-03,2024-07-06,other,closed,45,109,4320
344,1698,2024-08-24,2024-08-24,other,closed,23,43,0
345,1037,2024-08-19,2024-08-23,bug,closed,30,21,5760
346,746,2024-12-11,2024-12-16,usage_question,closed,44,236,7200
347,696,2023-05-31,2023-06-04,feature_request,closed,22,52,5760
348,208,2024-08-12,2024-08-12,usage_question,closed,18,23,0
349,1144,2024-08-10,2024-08-10,usage_question,closed,23,42,0
350,207,2024-08-21,2024-08-22,usage_question,closed,14,25,1440
351,785,2024-02-07,2024-02-10,other,closed,26,232,4320
352,1870,2024-03-24,2024-03-29,billing,closed,30,109,7200
353,1137,2024-05-09,2024-05-15,bug,closed,6,72,8640
354,1037,2024-12-19,2024-12-24,usage_question,closed,45,81,7200
355,1143,2024-11-18,2024-11-18,feature_request,closed,39,184,0
356,12,2024-05-21,2024-05-21,usage_question,closed,2,26,0
357,394,2024-04-15,2024-04-15,bug,closed,8,88,0
358,1641,2024-06-24,2024-06-24,bug,closed,33,193,0
359,1617,2024-05-18,2024-05-18,usage_question,closed,31,171,0
360,1141,2024-07-23,2024-07-26,billing,closed,32,29,4320
361,1944,2024-06-30,2024-06-30,bug,closed,32,217,0
362,614,2024-07-10,2024-07-17,usage_question,closed,27,58,10080
363,788,2023-12-23,2023-12-29,bug,closed,8,35,8640
364,1709,2024-07-19,2024-07-24,bug,closed,6,125,7200
365,330,2024-06-08,2024-06-08,usage_question,closed,36,164,0
366,572,2024-01-16,2024-01-22,billing,closed,18,22,8640
367,598,2024-02-23,2024-02-23,usage_question,closed,25,174,0
368,773,2023-12-05,2023-12-05,feature_request,closed,33,88,0
369,520,2024-02-19,2024-02-20,usage_question,closed,31,223,1440
370,342,2024-07-10,2024-07-10,bug,closed,3,218,0
371,1144,2023-10-07,2023-10-12,feature_request,closed,32,149,7200
372,374,2024-08-17,2024-08-17,usage_question,closed,11,99,0
373,1323,2024-11-09,2024-11-09,usage_question,closed,27,153,0
374,382,2024-06-22,2024-06-24,other,closed,16,235,2880
375,1247,2024-03-08,2024-03-08,feature_request,closed,1,110,0
376,1767,2024-10-23,2024-10-23,other,closed,4,80,0
377,110,2024-03-11,2024-03-11,usage_question,closed,43,71,0
378,1707,2024-08-21,2024-08-21,bug,closed,23,152,0
379,1181,2024-04-03,2024-04-05,bug,closed,36,37,2880
380,953,2024-08-24,2024-08-30,bug,closed,6,49,8640
381,550,2023-12-03,2023-12-04,other,closed,1,91,1440
382,1449,2024-10-27,2024-10-30,billing,closed,5,62,4320
383,868,2024-01-13,2024-01-13,billing,closed,6,98,0
384,1296,2024-10-23,2024-10-27,billing,closed,27,211,5760
385,1267,2024-05-25,2024-05-25,other,closed,23,68,0
386,1590,2024-06-20,2024-06-20,usage_question,closed,32,58,0
387,128,2023-12-03,2023-12-03,bug,closed,27,39,0
388,689,2024-12-19,2024-12-19,usage_question,closed,33,37,0
389,28,2024-12-26,2024-12-26,feature_request,closed,46,101,0
390,1235,2024-03-13,2024-03-13,feature_request,closed,10,219,0
391,1403,2023-12-09,2023-12-09,usage_question,closed,7,82,0
392,1860,2024-06-06,2024-06-11,usage_question,closed,43,169,7200
393,1204,2024-07-28,2024-08-02,usage_question,closed,42,26,7200
394,443,2024-02-02,2024-02-02,billing,closed,16,237,0
395,1377,2024-05-16,2024-05-21,usage_question,closed,25,144,7200
396,1798,2024-02-04,2024-02-05,billing,closed,47,223,1440
397,1220,2024-11-11,2024-11-11,bug,closed,48,92,0
398,270,2024-07-06,2024-07-07,feature_request,closed,33,114,1440
399,571,2024-06-05,2024-06-05,bug,closed,38,131,0
400,325,2024-04-29,2024-04-29,usage_question,closed,37,74,0
401,279,2023-10-23,2023-10-29,feature_request,closed,20,218,8640
402,83,2024-08-29,2024-09-04,usage_question,closed,12,146,8640
403,1683,2023-11-26,2023-11-26,bug,closed,21,186,0
404,672,2024-11-27,2024-12-02,bug,closed,27,41,7200
405,1868,2024-08-06,2024-08-07,usage_question,closed,6,128,1440
406,1100,2024-05-02,2024-05-02,usage_question,closed,44,21,0
407,1596,2024-09-16,2024-09-20,feature_request,closed,32,163,5760
408,619,2024-04-13,2024-04-13,usage_question,closed,50,191,0
409,865,2023-12-07,2023-12-08,other,closed,48,171,1440
410,453,2023-11-18,2023-11-22,billing,closed,14,231,5760
411,280,2023-06-05,2023-06-05,feature_request,closed,23,51,0
412,1987,2024-01-02,2024-01-02,feature_request,closed,1,36,0
413,1106,2023-12-06,2023-12-07,bug,closed,38,99,1440
414,1820,2023-10-27,2023-11-01,bug,closed,49,50,7200
415,1211,2024-05-04,2024-05-07,usage_question,closed,32,196,4320
416,1348,2024-11-20,2024-11-20,usage_question,closed,35,134,0
417,1812,2024-07-20,2024-07-25,bug,closed,18,123,7200
418,920,2024-12-20,2024-12-20,bug,closed,2,185,0
419,1104,2024-04-12,2024-04-12,bug,closed,10,162,0
420,1753,2024-12-23,2024-12-23,bug,closed,50,42,0
421,1587,2024-07-20,2024-07-27,other,closed,37,238,10080
422,1028,2024-05-27,2024-05-27,other,closed,43,69,0
423,830,2024-09-06,2024-09-06,other,closed,36,70,0
424,69,2024-12-19,2024-12-26,bug,closed,20,176,10080
425,1467,2024-03-23,2024-03-27,other,closed,42,157,5760
426,1560,2024-09-06,2024-09-06,usage_question,closed,6,24,0
427,1053,2024-12-04,2024-12-05,usage_question,closed,16,197,1440
428,1005,2024-12-14,2024-12-16,bug,closed,34,159,2880
429,798,2024-06-29,2024-06-29,usage_question,closed,17,235,0
430,1810,2024-05-10,2024-05-13,other,closed,4,186,4320
431,816,2024-09-23,2024-09-23,bug,closed,49,186,0
432,256,2024-07-25,2024-07-26,usage_question,closed,8,75,1440
433,1716,2023-12-26,2023-12-28,bug,closed,16,123,2880
434,1702,2024-06-29,2024-07-01,billing,closed,24,182,2880
435,702,2024-01-02,2024-01-02,bug,closed,26,54,0
436,1088,2023-09-23,2023-09-23,feature_request,closed,10,222,0
437,1282,2023-11-21,2023-11-25,usage_question,closed,35,141,5760
