subscription_id,customer_id,plan,start_date,end_date,monthly_value
138,63,starter,2023-04-06,,497.27
139,64,enterprise,2023-09-30,2024-09-29,10693.05
141,65,growth,2023-12-13,,2987.71
142,65,growth,2023-12-13,,2025.73
143,66,growth,2023-03-30,2024-03-29,2018.85
144,66,starter,2023-03-30,,516.66
145,67,growth,2024-06-14,,2976.23
147,67,enterprise,2024-06-14,,10478.49
153,70,growth,2025-02-17,,2468.5
154,70,enterprise,2025-02-17,2026-02-17,11073.15
156,71,starter,2024-02-03,,549.76
160,72,starter,2025-03-01,,523.14
161,73,growth,2023-11-03,,2508.64
162,73,starter,2023-11-03,2024-11-02,444.39
163,73,growth,2023-11-03,,2910.99
164,74,starter,2024-11-05,,522.67
166,75,growth,2023-02-19,,2831.85
167,75,starter,2023-02-19,,482.36
168,76,starter,2025-03-09,,566.09
169,76,growth,2025-03-09,,2868.6
170,76,starter,2025-03-09,,560.18
171,77,enterprise,2024-11-12,,9741.81
173,78,starter,2023-09-03,,459.24
175,79,starter,2023-11-05,,584.9
177,79,starter,2023-11-05,,517.55
178,80,enterprise,2024-10-28,,10428.01
179,80,enterprise,2024-10-28,2025-10-28,11258.66
180,81,enterprise,2024-01-02,2025-01-01,13618.35
181,81,starter,2024-01-02,,524.24
182,81,growth,2024-01-02,2025-01-01,2689.65
183,82,growth,2023-05-25,,2396.27
184,82,growth,2023-05-25,,2464.65
185,82,growth,2023-05-25,,2558.86
188,84,enterprise,2023-04-15,,12944.92
189,85,starter,2023-06-11,,579.11
190,85,starter,2023-06-11,,592.7
192,86,starter,2023-11-27,,498.63
193,86,starter,2023-11-27,,486.55
194,87,starter,2025-01-28,2026-01-28,557.81
196,88,starter,2025-02-10,,441.04
197,88,starter,2025-02-10,,421.81
198,89,starter,2023-07-08,2024-07-07,517.12
200,89,starter,2023-07-08,,473.82
201,90,starter,2024-08-29,,566.97
203,91,growth,2023-08-18,2024-08-17,2051.76
204,92,growth,2024-11-23,,2465.83
206,92,starter,2024-11-23,,562.07
207,93,starter,2023-10-10,2024-10-09,594.24
209,94,starter,2025-02-03,2026-02-03,480.43
210,95,starter,2024-09-29,,571.41
211,95,starter,2024-09-29,2025-09-29,564.62
213,96,growth,2023-03-17,,2590.2
214,96,growth,2023-03-17,,2175.03
215,97,growth,2025-03-05,,2855.53
216,97,enterprise,2025-03-05,,14296.37
217,97,enterprise,2025-03-05,,13835.64
219,99,enterprise,2023-07-26,,14012.65
222,100,starter,2024-01-14,2025-01-13,458.3
223,100,starter,2024-01-14,,559.1
228,102,starter,2024-06-06,,460.64
230,102,starter,2024-06-06,2025-06-06,484.96
232,104,enterprise,2025-04-12,,13272.15
233,104,starter,2025-04-12,,491.78
234,105,growth,2024-06-04,2025-06-04,2306.85
236,106,starter,2024-10-20,,567.04
237,107,starter,2024-10-09,,534.01
239,107,starter,2024-10-09,,542.75
240,108,growth,2024-04-06,,2572.89
242,108,starter,2024-04-06,,447.23
243,109,starter,2024-01-16,,529.91
245,109,starter,2024-01-16,,484.54
246,110,starter,2024-06-20,,432.36
247,111,starter,2024-07-23,,524.22
248,112,starter,2023-05-06,,588.93
250,113,starter,2023-04-22,,495.48
251,113,starter,2023-04-22,,472.55
255,115,growth,2025-02-18,,2702.31
257,115,growth,2025-02-18,,2358.89
258,116,enterprise,2025-02-01,,13134.15
259,116,starter,2025-02-01,,575.53
260,116,growth,2025-02-01,,2933.07
261,117,growth,2024-08-16,2025-08-16,2616.45
262,118,growth,2025-01-05,,2203.5
263,118,growth,2025-01-05,,2905.78
264,118,growth,2025-01-05,,2544.8
265,119,enterprise,2024-06-25,2025-06-25,13873.13
266,119,growth,2024-06-25,,2169.97
267,120,starter,2025-01-03,,478.85
269,121,growth,2024-08-26,2025-08-26,2967.82
270,122,enterprise,2025-04-18,,11203.84
271,122,starter,2025-04-18,2026-04-18,460.11
272,122,growth,2025-04-18,,2048.54
275,124,starter,2023-03-06,,558.73
276,125,starter,2023-05-01,2024-04-30,438.52
277,126,enterprise,2025-03-18,,14165.48
279,127,growth,2023-07-30,,2926.63
280,127,growth,2023-07-30,,2931.9
281,127,growth,2023-07-30,,2154.47
283,128,growth,2023-02-21,,2109.31
284,128,starter,2023-02-21,,517.11
285,129,enterprise,2024-05-08,,10131.25
286,129,growth,2024-05-08,,2784.35
287,130,starter,2025-01-24,,511.23
288,131,starter,2024-02-06,,428.28
289,131,starter,2024-02-06,2025-02-05,591.97
291,132,growth,2023-06-16,,2480.37
292,132,starter,2023-06-16,,435.66
295,134,growth,2024-08-04,2025-08-04,2210.71
296,134,enterprise,2024-08-04,,13824.11
297,135,growth,2024-05-18,2025-05-18,2989.92
298,135,starter,2024-05-18,2025-05-18,442.94
299,136,growth,2024-02-12,,2149.02
300,136,growth,2024-02-12,2025-02-11,2879.82
301,137,starter,2025-01-16,,554.71
302,137,growth,2025-01-16,,2608.82
303,137,enterprise,2025-01-16,2026-01-16,14318.71
304,138,growth,2024-02-06,2025-02-05,2468.92
305,138,enterprise,2024-02-06,2025-02-05,14199.43
306,139,starter,2024-06-24,,522.59
307,139,growth,2024-06-24,,2226.07
309,140,growth,2025-04-03,2026-04-03,2334.22
310,140,starter,2025-04-03,2026-04-03,408.61
311,141,growth,2025-04-06,2026-04-06,2679.65
313,141,starter,2025-04-06,,461.98
314,142,starter,2025-02-04,,580.09
315,143,starter,2023-06-23,2024-06-22,414.57
317,143,growth,2023-06-23,,2391.11
318,144,growth,2025-02-04,,2718.48
320,144,starter,2025-02-04,2026-02-04,412.73
323,146,starter,2023-01-07,,466.43
324,146,starter,2023-01-07,,472.53
325,146,growth,2023-01-07,,2662.81
326,147,enterprise,2025-03-16,,14249.29
328,147,starter,2025-03-16,2026-03-16,448.28
330,149,growth,2023-08-09,2024-08-08,2904.11
331,150,enterprise,2025-02-10,,11216.17
332,150,growth,2025-02-10,,2907.77
334,151,growth,2023-03-06,2024-03-05,2598.32
336,153,starter,2023-06-25,,425.5
337,154,starter,2023-08-17,,544.6
338,154,starter,2023-08-17,,453.55
339,155,starter,2024-08-30,,481.73
344,157,enterprise,2023-10-07,,13982.5
345,158,starter,2024-09-25,,575.66
346,158,starter,2024-09-25,,590.39
347,159,starter,2024-06-16,,503.05
348,160,growth,2025-01-31,,2857.56
350,160,enterprise,2025-01-31,2026-01-31,10035.1
352,162,growth,2024-01-08,,2703.55
353,162,starter,2024-01-08,,573.07
357,165,starter,2023-08-30,,524.23
358,166,enterprise,2025-01-13,,13844.21
359,166,enterprise,2025-01-13,,12728.71
361,167,growth,2023-11-28,2024-11-27,2500.05
362,167,enterprise,2023-11-28,2024-11-27,13718.23
363,168,growth,2025-04-04,2026-04-04,2462.6
365,169,growth,2023-02-06,,2139.64
368,171,enterprise,2023-04-01,,10815.81
370,172,growth,2024-03-30,,2734.43
371,172,growth,2024-03-30,2025-03-30,2321.07
372,172,enterprise,2024-03-30,2025-03-30,14018.54
373,173,growth,2023-10-05,,2034.08
374,173,growth,2023-10-05,,2307.15
375,174,starter,2024-04-22,2025-04-22,451.53
377,174,starter,2024-04-22,,513.82
378,175,starter,2024-09-19,,431.24
379,175,enterprise,2024-09-19,,10663.52
380,176,starter,2025-03-09,,528.02
381,176,enterprise,2025-03-09,,10289.42
382,176,growth,2025-03-09,,2091.81
384,177,enterprise,2024-06-12,,9840.63
385,177,starter,2024-06-12,,415.51
386,178,growth,2024-05-28,2025-05-28,2203.7
389,179,growth,2023-05-04,,2704.21
391,180,starter,2024-08-06,,513.88
392,180,starter,2024-08-06,,506.64
393,181,growth,2023-01-12,,2527.91
394,182,starter,2023-02-17,,597.85
395,183,starter,2024-09-08,,460.33
396,183,growth,2024-09-08,,2043.94
397,183,starter,2024-09-08,,433.72
398,184,growth,2024-04-13,2025-04-13,2384.89
399,184,starter,2024-04-13,2025-04-13,411.64
400,185,enterprise,2023-11-06,,12527.01
402,185,starter,2023-11-06,2024-11-05,484.87
403,186,growth,2025-03-22,2026-03-22,2240.13
406,187,growth,2024-02-09,,2926.06
407,188,starter,2023-07-12,,455.13
408,189,starter,2024-05-08,,417.61
409,189,growth,2024-05-08,,2315.18
411,190,enterprise,2023-09-11,,12843.25
412,190,starter,2023-09-11,,499.25
415,192,growth,2024-12-20,2025-12-20,2650.3
417,193,starter,2024-08-12,,525.95
418,193,enterprise,2024-08-12,2025-08-12,9756.19
419,194,starter,2025-02-22,2026-02-22,413.15
420,195,starter,2023-07-09,2024-07-08,448.17
422,195,starter,2023-07-09,2024-07-08,436.48
423,196,growth,2025-03-08,,2053.28
424,197,starter,2025-03-12,,581.27
425,197,starter,2025-03-12,,428.27
426,197,starter,2025-03-12,,551.99
427,198,starter,2025-01-09,2026-01-09,457.4
429,198,growth,2025-01-09,,2827.36
431,199,growth,2025-03-06,,2430.59
432,200,starter,2025-03-11,,560.59
434,201,starter,2024-08-08,,558.67
436,202,starter,2024-03-05,,478.12
438,202,starter,2024-03-05,,551.79
439,203,growth,2024-02-10,2025-02-09,2657.24
441,203,growth,2024-02-10,,2728.31
442,204,starter,2024-01-04,,595.81
443,204,starter,2024-01-04,,574.65
444,205,starter,2023-12-12,,509.9
445,205,starter,2023-12-12,2024-12-11,518.71
446,206,growth,2025-03-12,2026-03-12,2931.03
448,206,starter,2025-03-12,,493.61
449,207,starter,2025-03-03,2026-03-03,462.32
450,207,enterprise,2025-03-03,,10285.06
451,207,growth,2025-03-03,,2766.91
452,208,starter,2023-04-11,,474.48
453,208,starter,2023-04-11,2024-04-10,569.86
454,209,growth,2024-10-15,,2377.02
455,209,growth,2024-10-15,,2056.01
456,209,enterprise,2024-10-15,,12874.24
457,210,growth,2024-03-12,2025-03-12,2480.67
458,210,growth,2024-03-12,,2735.65
459,210,starter,2024-03-12,2025-03-12,522.32
460,211,starter,2023-08-08,,545.84
461,211,starter,2023-08-08,,496.31
462,211,growth,2023-08-08,,2634.66
465,214,starter,2023-11-20,,511.32
466,214,starter,2023-11-20,,563.94
467,215,growth,2023-08-16,,2873.27
468,215,growth,2023-08-16,,2804.19
469,215,growth,2023-08-16,,2972.8
470,216,starter,2023-04-29,,527.81
471,216,growth,2023-04-29,,2521.68
472,216,growth,2023-04-29,2024-04-28,2918.81
473,217,growth,2024-10-23,2025-10-23,2826.52
474,218,growth,2024-03-24,,2082.12
475,218,starter,2024-03-24,,509.12
476,218,starter,2024-03-24,,455.79
481,221,starter,2025-03-12,2026-03-12,536.88
482,222,starter,2024-07-23,,409.91
483,222,growth,2024-07-23,,2137.25
486,224,starter,2023-11-07,2024-11-06,409.52
488,224,starter,2023-11-07,,531.68
489,225,starter,2023-10-05,2024-10-04,580.13
490,225,starter,2023-10-05,,480.93
491,225,starter,2023-10-05,,543.73
493,226,starter,2025-02-03,,441.38
494,226,starter,2025-02-03,,451.84
495,227,starter,2024-06-02,,429.65
496,227,growth,2024-06-02,,2376.62
497,227,growth,2024-06-02,,2195.49
498,228,enterprise,2023-09-24,,12727.22
501,229,growth,2023-04-12,,2850.43
502,230,growth,2025-04-15,2026-04-15,2203.33
503,230,starter,2025-04-15,,507.14
504,230,enterprise,2025-04-15,,12572.37
505,231,growth,2023-08-20,,2358.9
506,231,growth,2023-08-20,,2645.81
508,232,enterprise,2024-06-18,2025-06-18,11134.64
510,232,starter,2024-06-18,,410.6
513,233,growth,2024-06-07,,2397.69
514,234,starter,2023-09-12,,446.12
515,234,growth,2023-09-12,,2246.27
516,235,enterprise,2023-02-14,,11309.84
517,235,growth,2023-02-14,,2498.92
518,236,growth,2024-08-10,2025-08-10,2056.41
519,236,growth,2024-08-10,2025-08-10,2234.72
520,237,starter,2024-10-18,,558.58
521,237,starter,2024-10-18,,518.18
522,238,starter,2023-04-10,,453.55
523,239,starter,2024-11-22,,441.95
528,241,starter,2023-05-03,2024-05-02,521.76
529,242,starter,2023-12-04,,564.68
530,242,starter,2023-12-04,,567.79
531,243,starter,2023-05-11,,424.85
532,243,starter,2023-05-11,,483.0
533,243,starter,2023-05-11,,557.88
534,244,starter,2025-02-15,,509.15
536,244,starter,2025-02-15,,405.73
539,246,growth,2023-03-31,,2005.83
541,246,growth,2023-03-31,,2671.96
542,247,growth,2024-12-31,2025-12-31,2351.45
543,247,starter,2024-12-31,2025-12-31,535.99
544,248,growth,2025-02-28,,2755.27
545,248,growth,2025-02-28,,2963.77
546,249,starter,2025-03-22,,404.6
548,249,starter,2025-03-22,,504.58
549,250,starter,2024-11-16,2025-11-16,470.29
551,250,starter,2024-11-16,,521.58
554,252,starter,2024-10-08,,435.06
555,253,starter,2023-03-24,,496.47
557,253,growth,2023-03-24,2024-03-23,2656.25
558,254,growth,2024-01-20,,2596.44
559,254,starter,2024-01-20,2025-01-19,594.89
560,255,starter,2024-02-17,,471.14
561,255,enterprise,2024-02-17,,13118.92
562,255,starter,2024-02-17,,406.08
563,256,growth,2024-07-18,,2172.4
564,256,enterprise,2024-07-18,,11489.92
565,257,growth,2025-03-08,,2556.26
566,257,growth,2025-03-08,,2711.71
567,257,starter,2025-03-08,2026-03-08,541.27
569,258,starter,2025-01-14,,418.43
570,259,growth,2025-03-23,,2535.88
571,259,growth,2025-03-23,,2285.51
572,259,growth,2025-03-23,,2189.87
575,261,starter,2023-08-08,2024-08-07,575.94
580,263,growth,2024-06-01,,2232.96
583,264,enterprise,2024-01-01,2024-12-31,10134.03
585,265,starter,2025-03-24,,431.18
587,267,growth,2023-06-16,2024-06-15,2699.36
588,268,enterprise,2024-04-09,,12608.18
592,270,starter,2025-03-21,2026-03-21,442.73
593,270,growth,2025-03-21,,2668.11
597,272,growth,2024-11-03,,2645.42
600,273,enterprise,2023-01-19,,9705.77
601,274,growth,2025-03-17,,2676.98
602,274,starter,2025-03-17,2026-03-17,553.76
603,274,growth,2025-03-17,,2370.06
604,275,growth,2023-03-17,,2282.47
605,275,starter,2023-03-17,2024-03-16,557.72
606,276,starter,2025-03-08,,447.6
607,276,growth,2025-03-08,2026-03-08,2924.98
609,277,starter,2024-03-28,,485.3
610,278,growth,2025-02-15,,2569.85
611,278,starter,2025-02-15,,432.21
612,279,growth,2024-09-10,,2227.79
613,279,growth,2024-09-10,,2182.2
614,279,enterprise,2024-09-10,,11405.8
615,280,starter,2024-12-19,,453.91
616,280,starter,2024-12-19,,440.96
618,281,starter,2023-11-25,,523.09
621,282,growth,2024-04-11,2025-04-11,2583.6
622,282,growth,2024-04-11,,2027.53
624,283,growth,2024-01-03,2025-01-02,2758.9
625,283,starter,2024-01-03,,509.98
626,283,growth,2024-01-03,2025-01-02,2213.09
627,284,starter,2023-11-19,,501.84
628,284,growth,2023-11-19,,2938.68
629,284,enterprise,2023-11-19,,11921.85
631,285,starter,2025-04-27,,430.99
632,285,growth,2025-04-27,2026-04-27,2569.12
635,286,growth,2025-01-28,,2630.42
637,287,starter,2025-03-02,,489.68
639,288,enterprise,2025-01-26,,10242.48
644,290,starter,2023-03-24,,445.57
645,291,starter,2024-05-26,,499.95
647,291,starter,2024-05-26,2025-05-26,548.05
649,292,starter,2025-03-15,,523.25
653,294,growth,2024-10-28,2025-10-28,2841.64
654,294,starter,2024-10-28,,438.65
655,295,growth,2024-02-29,,2782.68
656,295,growth,2024-02-29,,2503.58
658,296,starter,2024-03-27,,462.18
659,296,growth,2024-03-27,,2816.07
660,297,growth,2024-03-08,,2721.82
661,298,starter,2023-11-08,,451.52
662,299,growth,2024-01-10,,2668.12
663,299,starter,2024-01-10,,406.04
664,299,growth,2024-01-10,2025-01-09,2118.05
665,300,growth,2024-07-31,,2158.25
668,301,growth,2024-04-24,,2257.23
669,302,enterprise,2024-08-01,,12393.09
670,302,growth,2024-08-01,,2816.44
672,303,starter,2023-12-12,,463.24
675,304,growth,2024-09-04,2025-09-04,2882.04
676,304,growth,2024-09-04,,2595.58
678,305,starter,2024-12-10,,523.71
679,305,enterprise,2024-12-10,,10921.67
680,306,starter,2024-04-21,,407.49
681,307,starter,2024-02-15,,576.94
683,308,starter,2024-11-08,2025-11-08,535.99
684,309,growth,2024-02-14,,2680.62
686,309,starter,2024-02-14,2025-02-13,509.35
687,310,starter,2025-03-31,,409.28
688,310,growth,2025-03-31,,2113.56
690,311,starter,2023-04-27,,558.56
691,311,starter,2023-04-27,,563.76
693,312,starter,2023-11-18,2024-11-17,546.57
695,313,growth,2025-03-03,,2865.09
700,315,growth,2024-02-04,,2784.23
702,316,growth,2025-03-15,,2836.8
703,316,starter,2025-03-15,2026-03-15,454.6
704,317,enterprise,2023-09-23,2024-09-22,14266.05
706,318,growth,2025-04-02,,2147.04
707,319,growth,2023-03-06,,2674.97
708,319,growth,2023-03-06,2024-03-05,2574.66
709,320,growth,2025-03-28,2026-03-28,2386.92
710,321,growth,2025-02-07,,2487.71
711,321,starter,2025-02-07,,584.85
712,322,starter,2024-09-30,,417.17
713,322,starter,2024-09-30,,424.69
714,323,enterprise,2025-02-27,,14371.71
716,324,enterprise,2023-12-13,2024-12-12,9980.93
717,324,growth,2023-12-13,,2700.87
718,325,growth,2023-12-10,,2173.58
719,325,enterprise,2023-12-10,2024-12-09,11806.15
720,325,starter,2023-12-10,,599.28
721,326,enterprise,2023-03-10,2024-03-09,10295.48
722,326,growth,2023-03-10,2024-03-09,2011.02
723,327,growth,2024-11-04,,2809.86
724,327,growth,2024-11-04,,2707.87
725,327,enterprise,2024-11-04,,12720.43
726,328,enterprise,2025-04-07,,12622.66
728,328,starter,2025-04-07,,488.15
729,329,growth,2023-06-13,,2380.24
730,330,growth,2025-01-24,,2340.63
732,331,starter,2023-04-28,2024-04-27,407.15
735,333,starter,2025-04-10,,590.6
736,333,growth,2025-04-10,,2029.47
737,334,growth,2023-12-27,,2204.89
738,334,growth,2023-12-27,,2403.31
739,334,growth,2023-12-27,,2569.04
741,335,starter,2024-12-12,2025-12-12,510.6
742,335,starter,2024-12-12,,467.55
743,336,growth,2025-02-03,,2960.84
744,336,starter,2025-02-03,,465.66
745,336,starter,2025-02-03,,548.51
747,338,growth,2024-02-26,,2877.01
748,338,growth,2024-02-26,,2722.84
750,339,starter,2023-05-20,,497.79
751,340,starter,2024-03-17,,596.44
754,341,growth,2023-04-16,2024-04-15,2360.3
755,341,starter,2023-04-16,,467.28
756,342,starter,2023-03-10,2024-03-09,477.12
757,343,starter,2024-02-06,,504.25
759,344,starter,2024-03-05,,415.87
760,344,starter,2024-03-05,,519.02
761,345,growth,2025-03-28,2026-03-28,2815.17
767,348,starter,2024-06-04,2025-06-04,415.17
772,351,growth,2025-02-01,,2363.99
775,352,growth,2024-04-13,,2533.91
777,353,starter,2024-11-22,,564.12
778,353,starter,2024-11-22,,408.33
779,354,enterprise,2023-01-19,,13007.15
782,356,enterprise,2024-03-22,,11559.67
783,356,starter,2024-03-22,,530.67
784,357,growth,2025-04-10,,2668.06
785,357,growth,2025-04-10,,2580.14
786,357,growth,2025-04-10,2026-04-10,2946.05
787,358,growth,2023-04-01,2024-03-31,2141.36
788,358,starter,2023-04-01,2024-03-31,568.4
789,358,enterprise,2023-04-01,,12445.35
791,359,growth,2024-08-21,,2523.18
792,359,starter,2024-08-21,2025-08-21,556.59
793,360,starter,2023-03-13,,587.68
794,360,enterprise,2023-03-13,,14170.72
795,361,starter,2025-02-20,,434.79
796,361,growth,2025-02-20,,2991.38
797,361,starter,2025-02-20,,518.65
798,362,growth,2024-10-30,2025-10-30,2902.21
800,362,starter,2024-10-30,2025-10-30,479.78
801,363,enterprise,2024-04-29,,10368.83
802,363,starter,2024-04-29,,557.74
803,363,starter,2024-04-29,,553.82
804,364,starter,2023-02-14,,465.32
805,364,starter,2023-02-14,2024-02-14,495.14
806,365,starter,2024-09-17,2025-09-17,571.2
809,366,starter,2024-01-28,,497.75
811,367,growth,2023-10-08,,2925.24
813,368,starter,2024-08-12,,536.08
814,368,starter,2024-08-12,,535.65
815,368,growth,2024-08-12,2025-08-12,2208.89
816,369,starter,2023-09-11,,460.71
817,370,starter,2023-07-13,2024-07-12,558.11
818,370,growth,2023-07-13,,2849.02
820,371,enterprise,2025-02-07,,12760.71
821,371,enterprise,2025-02-07,2026-02-07,11135.16
822,372,growth,2024-04-27,,2164.75
823,372,enterprise,2024-04-27,,12369.36
825,373,starter,2024-10-03,,498.78
826,373,enterprise,2024-10-03,,12089.96
827,373,enterprise,2024-10-03,2025-10-03,9818.59
828,374,growth,2023-10-16,,2632.85
829,374,enterprise,2023-10-16,2024-10-15,13562.95
830,375,enterprise,2024-02-04,,9805.08
832,376,enterprise,2023-11-06,,10432.34
834,376,enterprise,2023-11-06,,12773.88
835,377,growth,2024-10-20,,2658.19
837,378,starter,2024-03-13,2025-03-13,597.86
838,379,starter,2023-06-14,2024-06-13,421.49
839,379,growth,2023-06-14,,2476.47
840,380,enterprise,2024-04-28,,11467.94
841,381,starter,2025-03-24,,506.77
842,381,starter,2025-03-24,,422.89
845,382,starter,2023-09-27,,594.55
846,383,growth,2024-09-23,,2739.22
847,383,starter,2024-09-23,2025-09-23,419.76
848,383,growth,2024-09-23,2025-09-23,2797.5
849,384,growth,2023-11-27,,2996.03
850,384,starter,2023-11-27,,556.36
851,384,starter,2023-11-27,,561.48
852,385,starter,2023-12-26,,493.93
853,386,starter,2024-12-08,,502.49
855,387,starter,2025-04-10,,505.88
856,387,enterprise,2025-04-10,,13845.19
857,388,growth,2024-06-12,,2066.64
858,389,growth,2024-07-21,2025-07-21,2294.48
859,389,starter,2024-07-21,2025-07-21,543.93
860,390,starter,2023-12-18,2024-12-17,501.23
861,391,growth,2024-01-20,2025-01-19,2256.24
862,392,starter,2024-06-07,2025-06-07,492.96
863,392,starter,2024-06-07,,572.86
864,392,growth,2024-06-07,,2315.53
866,394,enterprise,2023-11-06,,14231.4
867,394,starter,2023-11-06,,512.79
870,396,starter,2023-02-25,,462.3
871,396,starter,2023-02-25,,421.33
874,398,starter,2023-08-27,2024-08-26,585.33
878,399,starter,2023-11-04,,502.77
882,401,starter,2025-02-06,,471.27
885,402,growth,2023-03-17,,2376.03
888,404,growth,2025-02-08,2026-02-08,2946.79
890,404,starter,2025-02-08,,488.75
892,405,enterprise,2025-01-23,,10864.99
893,406,starter,2024-05-24,,500.09
894,406,starter,2024-05-24,,409.32
896,407,growth,2024-07-26,,2441.23
900,408,starter,2023-09-10,,569.59
901,409,enterprise,2024-03-12,2025-03-12,13410.62
905,410,enterprise,2025-02-16,,10149.89
906,410,enterprise,2025-02-16,,13522.09
907,411,starter,2023-04-27,2024-04-26,521.46
909,412,starter,2025-01-10,,452.59
911,413,growth,2024-10-16,2025-10-16,2693.66
912,413,starter,2024-10-16,,518.8
913,414,growth,2024-10-23,2025-10-23,2755.85
914,414,growth,2024-10-23,,2448.64
916,415,starter,2024-10-11,,523.75
917,415,starter,2024-10-11,,402.3
918,415,growth,2024-10-11,,2699.15
921,416,starter,2025-02-27,2026-02-27,581.44
923,417,starter,2024-06-11,,407.88
925,419,enterprise,2025-04-16,2026-04-16,10296.73
927,419,starter,2025-04-16,,459.71
928,420,growth,2023-04-24,,2312.71
929,420,growth,2023-04-24,,2351.31
930,421,growth,2024-06-21,,2455.93
931,421,growth,2024-06-21,,2845.09
933,422,growth,2025-02-24,2026-02-24,2500.73
936,423,starter,2025-01-24,,406.85
938,424,starter,2023-02-24,,501.39
939,425,growth,2023-08-10,,2870.93
940,425,starter,2023-08-10,2024-08-09,575.66
941,426,growth,2024-02-20,,2335.02
942,426,growth,2024-02-20,2025-02-19,2223.56
944,428,growth,2025-01-23,,2243.72
945,429,starter,2023-03-22,2024-03-21,502.98
946,429,enterprise,2023-03-22,,9989.94
947,429,starter,2023-03-22,,476.87
948,430,starter,2024-06-28,2025-06-28,448.23
949,430,growth,2024-06-28,,2124.06
951,431,growth,2025-04-17,2026-04-17,2379.35
952,431,growth,2025-04-17,,2202.13
954,432,starter,2024-08-02,,449.79
955,432,starter,2024-08-02,,566.86
956,432,starter,2024-08-02,2025-08-02,431.48
