churn_event_id,customer_id,churn_date,region,segment,reason
104,259,2023-04-05,North,Mid-Market,other
105,1966,2024-06-24,North,Enterprise,budget_cut
106,439,2023-07-01,East,Mid-Market,budget_cut
107,1708,2023-06-16,South,SMB,budget_cut
108,1074,2024-02-29,South,SMB,other
109,1845,2024-06-29,North,Enterprise,support
110,1866,2024-11-17,South,Mid-Market,budget_cut
111,1131,2023-09-03,West,SMB,product_fit
112,1648,2023-07-03,West,SMB,lost_sponsor
113,767,2024-07-03,South,Enterprise,competitor
114,939,2024-08-16,North,SMB,other
115,144,2023-04-03,West,SMB,product_fit
116,878,2024-07-14,East,Enterprise,competitor
117,810,2023-11-26,West,SMB,other
118,1046,2024-11-22,International,Mid-Market,lost_sponsor
119,541,2023-12-02,West,SMB,support
120,700,2024-04-23,North,SMB,support
121,1138,2024-08-23,West,SMB,product_fit
122,1123,2024-05-09,West,SMB,budget_cut
123,1035,2024-09-14,East,Mid-Market,budget_cut
124,1420,2024-09-16,East,Enterprise,support
125,751,2024-03-06,East,Mid-Market,lost_sponsor
126,239,2023-07-20,International,SMB,other
127,802,2024-07-07,West,SMB,other
128,188,2024-07-17,South,Mid-Market,competitor
129,931,2024-03-21,East,SMB,lost_sponsor
130,1050,2024-01-06,West,SMB,support
131,934,2023-08-10,East,SMB,other
132,1756,2023-12-15,West,Mid-Market,budget_cut
133,1690,2024-02-03,East,SMB,budget_cut
134,400,2024-07-29,West,SMB,other
135,1639,2023-07-05,West,SMB,lost_sponsor
136,498,2023-04-29,West,SMB,other
137,1163,2023-10-14,West,Mid-Market,other
138,245,2024-05-13,International,SMB,product_fit
139,40,2024-07-21,International,Mid-Market,lost_sponsor
140,871,2024-08-20,South,Mid-Market,competitor
141,896,2024-07-13,South,Enterprise,lost_sponsor
142,1723,2023-11-23,West,SMB,competitor
143,534,2023-09-23,West,SMB,lost_sponsor
144,1319,2023-10-27,East,Mid-Market,other
145,545,2024-08-17,East,SMB,product_fit
146,570,2023-06-25,West,SMB,budget_cut
147,1458,2024-11-24,North,SMB,other
148,1878,2023-12-06,South,SMB,lost_sponsor
149,131,2023-12-14,West,Enterprise,budget_cut
150,1557,2024-11-07,West,SMB,support
151,33,2023-05-12,West,SMB,competitor
152,76,2024-10-23,East,Mid-Market,other
153,448,2024-01-27,North,SMB,lost_sponsor
154,614,2024-07-19,East,SMB,support
155,336,2023-10-29,North,SMB,budget_cut
156,424,2024-06-02,North,SMB,support
157,1911,2023-05-02,South,SMB,budget_cut
158,1333,2023-05-26,International,SMB,lost_sponsor
159,1277,2023-11-26,South,Mid-Market,lost_sponsor
160,748,2024-01-06,South,Mid-Market,lost_sponsor
161,913,2024-03-22,South,Mid-Market,product_fit
162,828,2023-06-14,West,Mid-Market,other
163,121,2023-09-01,South,SMB,support
164,1827,2024-11-29,East,SMB,lost_sponsor
165,1326,2023-08-29,International,SMB,support
166,663,2023-10-04,South,SMB,other
167,1119,2024-02-18,West,SMB,competitor
168,756,2024-10-23,East,SMB,product_fit
169,406,2023-08-31,International,Mid-Market,budget_cut
170,719,2024-08-22,South,SMB,product_fit
171,1807,2024-06-25,South,Mid-Market,product_fit
172,894,2023-07-16,West,Mid-Market,competitor
173,856,2023-08-13,South,Mid-Market,product_fit
174,1543,2023-12-04,East,SMB,product_fit
175,789,2024-04-18,West,SMB,budget_cut
176,51,2024-09-28,South,Mid-Market,product_fit
177,501,2024-07-06,West,Mid-Market,budget_cut
178,99,2024-07-07,South,SMB,competitor
179,1294,2023-05-20,North,SMB,lost_sponsor
180,1281,2023-12-11,East,SMB,competitor
181,632,2023-09-10,West,Enterprise,product_fit
182,1721,2023-06-06,North,SMB,lost_sponsor
183,1892,2024-07-10,South,SMB,competitor
184,1080,2024-06-07,International,SMB,lost_sponsor
185,562,2024-02-28,East,SMB,competitor
186,1290,2024-11-23,North,SMB,product_fit
187,625,2024-11-08,North,SMB,competitor
188,976,2023-05-21,North,SMB,product_fit
189,201,2024-02-15,North,SMB,lost_sponsor
190,13,2024-06-20,North,SMB,support
191,662,2024-09-25,South,SMB,support
192,1784,2024-08-27,South,Mid-Market,competitor
193,1386,2023-06-02,West,SMB,other
194,325,2024-09-09,South,SMB,support
195,1446,2023-11-21,South,Mid-Market,budget_cut
196,135,2023-07-21,West,SMB,support
197,615,2023-04-23,West,SMB,competitor
198,347,2023-12-12,East,SMB,lost_sponsor
199,222,2024-02-20,West,SMB,lost_sponsor
200,822,2023-11-15,North,SMB,budget_cut
201,363,2024-08-08,South,Enterprise,other
202,466,2024-05-07,International,SMB,competitor
203,1071,2024-08-21,South,SMB,product_fit
204,1525,2024-01-23,West,Mid-Market,product_fit
205,1037,2024-02-27,North,SMB,lost_sponsor
206,948,2024-09-09,North,Mid-Market,lost_sponsor
207,352,2024-08-19,South,SMB,competitor
208,451,2023-05-23,West,Enterprise,product_fit
209,470,2023-08-20,West,Mid-Market,support
210,1494,2024-05-10,West,SMB,lost_sponsor
211,593,2023-11-20,South,SMB,budget_cut
212,1383,2024-08-11,South,SMB,support
213,1183,2024-07-30,South,Mid-Market,competitor
214,209,2023-06-19,East,SMB,support
215,1569,2023-04-27,North,SMB,other
216,1577,2024-01-16,North,Enterprise,product_fit
217,978,2023-07-16,North,SMB,product_fit
218,306,2024-04-04,North,SMB,support
219,1007,2024-04-25,South,SMB,product_fit
220,1955,2024-08-13,West,Mid-Market,budget_cut
221,11,2024-10-24,International,Mid-Market,product_fit
222,907,2023-11-25,East,Mid-Market,lost_sponsor
223,359,2024-09-15,North,SMB,competitor
224,32,2023-09-21,International,SMB,competitor
225,434,2023-10-10,South,Mid-Market,lost_sponsor
226,531,2023-09-16,South,Enterprise,lost_sponsor
227,1968,2023-05-17,North,SMB,product_fit
228,975,2023-07-02,East,SMB,other
229,1484,2024-05-14,West,SMB,product_fit
230,1130,2024-07-26,North,SMB,other
231,302,2024-08-12,North,SMB,lost_sponsor
232,994,2024-09-16,South,SMB,budget_cut
233,211,2024-05-04,North,SMB,lost_sponsor
234,215,2024-05-19,East,SMB,product_fit
235,1793,2023-08-29,International,SMB,other
236,1938,2024-02-07,International,Mid-Market,support
237,532,2024-10-19,West,Mid-Market,competitor
238,1595,2024-11-06,North,SMB,budget_cut
239,1191,2024-07-01,South,SMB,product_fit
240,1673,2024-07-01,North,SMB,lost_sponsor
241,88,2024-07-14,East,SMB,lost_sponsor
242,941,2024-03-12,East,SMB,product_fit
243,1594,2024-08-04,South,SMB,other
244,1608,2024-08-25,North,SMB,support
245,217,2024-01-22,East,SMB,budget_cut
246,1644,2023-11-06,West,Mid-Market,lost_sponsor
247,1910,2023-05-23,International,Enterprise,other
248,1224,2024-02-13,North,SMB,support
249,1232,2023-06-24,East,Enterprise,product_fit
250,928,2024-02-11,International,SMB,competitor
251,929,2024-08-05,West,SMB,product_fit
252,1692,2023-12-30,North,Mid-Market,product_fit
253,1575,2023-06-27,South,Mid-Market,lost_sponsor
254,1586,2024-05-03,East,SMB,product_fit
255,1899,2024-02-23,East,SMB,competitor
256,1668,2023-06-01,North,Enterprise,product_fit
257,519,2024-10-29,East,Mid-Market,support
258,518,2023-09-11,North,SMB,support
259,1573,2024-02-20,West,SMB,support
260,912,2024-04-22,East,SMB,product_fit
261,1808,2024-09-29,North,SMB,lost_sponsor
262,168,2023-11-08,International,Mid-Market,product_fit
263,465,2023-04-12,South,Mid-Market,budget_cut
264,1417,2024-08-01,North,SMB,support
265,1392,2023-09-23,South,SMB,competitor
266,20,2024-05-27,South,SMB,support
267,1221,2023-07-31,North,Enterprise,product_fit
268,1918,2023-07-22,International,Mid-Market,other
269,621,2024-07-10,West,SMB,support
270,1517,2024-10-12,West,Mid-Market,competitor
271,1919,2024-07-23,East,SMB,competitor
272,704,2023-11-12,West,Mid-Market,other
273,446,2023-10-07,East,Enterprise,budget_cut
274,656,2023-04-22,East,SMB,product_fit
275,412,2024-04-24,West,SMB,competitor
276,1105,2024-04-15,North,SMB,budget_cut
277,901,2024-07-05,South,SMB,budget_cut
278,423,2023-11-30,West,SMB,lost_sponsor
279,708,2024-10-17,East,Mid-Market,lost_sponsor
280,1773,2024-07-10,East,SMB,budget_cut
281,635,2023-05-30,North,Enterprise,lost_sponsor
282,81,2023-06-07,West,SMB,other
283,170,2024-04-20,North,SMB,other
284,658,2024-06-25,International,SMB,lost_sponsor
285,163,2024-08-10,South,Mid-Market,other
286,1975,2023-09-10,South,Mid-Market,lost_sponsor
287,1329,2023-08-25,East,SMB,product_fit
288,1211,2023-06-24,West,Mid-Market,lost_sponsor
289,130,2023-09-15,South,SMB,lost_sponsor
290,1369,2023-06-15,South,SMB,competitor
291,375,2024-06-12,East,SMB,budget_cut
292,1719,2023-06-15,North,Mid-Market,support
293,1562,2024-08-11,South,SMB,support
294,298,2023-11-30,East,Mid-Market,other
295,1647,2024-08-19,South,SMB,competitor
296,567,2024-08-27,East,SMB,other
297,1828,2024-04-10,North,SMB,competitor
298,644,2023-08-17,South,SMB,support
299,1010,2023-10-16,North,SMB,budget_cut
300,564,2023-11-08,West,SMB,lost_sponsor
301,1086,2023-06-29,South,Enterprise,product_fit
302,964,2023-08-19,East,SMB,budget_cut
303,942,2024-02-06,North,SMB,competitor
304,1493,2024-05-18,East,SMB,product_fit
305,1933,2024-08-05,South,SMB,lost_sponsor
306,1590,2024-09-18,South,SMB,support
307,1342,2023-05-08,South,Mid-Market,lost_sponsor
308,1761,2024-07-23,International,SMB,product_fit
309,1124,2024-03-04,East,Mid-Market,competitor
310,959,2023-12-19,East,SMB,lost_sponsor
311,1540,2024-10-29,East,Mid-Market,budget_cut
312,442,2023-10-25,South,Mid-Market,product_fit
313,1465,2024-02-27,East,SMB,competitor
314,138,2024-09-14,North,SMB,budget_cut
315,1463,2024-07-02,South,SMB,lost_sponsor
316,1650,2024-11-27,West,SMB,product_fit
317,1073,2024-05-21,East,Mid-Market,budget_cut
318,833,2024-07-04,South,Mid-Market,support
319,393,2023-05-31,North,Mid-Market,support
320,1323,2024-07-13,North,SMB,competitor
321,1574,2023-07-03,West,Enterprise,lost_sponsor
322,1325,2023-04-09,West,SMB,product_fit
323,1382,2024-02-28,West,SMB,competitor
324,1818,2023-04-28,West,SMB,budget_cut
325,490,2024-10-25,North,Mid-Market,budget_cut
326,1321,2024-02-11,West,SMB,product_fit
327,145,2024-02-10,East,Mid-Market,budget_cut
328,1936,2023-08-07,West,SMB,competitor
329,1548,2024-09-09,North,SMB,support
330,1628,2024-07-25,North,SMB,budget_cut
331,1402,2024-02-28,South,SMB,support
332,1194,2023-04-13,North,SMB,competitor
333,829,2024-06-13,South,Enterprise,other
334,283,2023-11-12,South,SMB,support
335,1932,2024-02-29,East,Mid-Market,support
336,1282,2024-06-03,North,SMB,other
337,1737,2023-06-26,North,SMB,competitor
338,1028,2024-09-25,North,SMB,product_fit
339,286,2023-04-05,East,Mid-Market,budget_cut
340,1174,2024-09-13,East,Mid-Market,budget_cut
341,331,2023-12-11,East,SMB,other
342,314,2023-10-09,South,SMB,product_fit
343,31,2024-10-20,East,SMB,support
344,580,2024-01-10,West,Mid-Market,lost_sponsor
345,44,2023-06-21,West,SMB,budget_cut
346,292,2023-10-28,West,SMB,budget_cut
347,1973,2024-10-06,International,Mid-Market,other
348,1443,2024-09-20,South,Mid-Market,other
349,859,2024-05-03,East,SMB,lost_sponsor
350,1127,2024-11-05,West,Mid-Market,support
