opportunity_id,account_id,contact_id,sales_rep_id,created_at,amount,pipeline_stage,current_stage,forecast_category,next_step_date,status,actual_close,loss_reason
236,209,359,3,2023-01-01,96140,5,Closed,Best Case,2023-01-07,won,2023-02-14,
249,2074,382,37,2023-02-13,71581,3,Proposal,Omit,2020-01-01,open,,
255,2928,389,39,2023-01-05,22162,2,Demo,Omit,2023-01-09,open,,
256,2928,389,39,2023-01-02,14424,5,Closed,Omit,2023-01-07,won,2023-03-28,
260,302,394,30,2023-01-04,19162,4,Negotiation,Best Case,2023-01-01,open,,
265,1543,400,12,2023-02-28,24550,2,Demo,Best Case,2023-01-08,open,,
266,1543,400,12,2023-02-28,14849,5,Closed,Omit,2023-01-03,won,2023-04-23,
267,1543,400,12,2023-02-26,15332,5,Closed,Omit,2020-01-01,won,2023-03-29,
268,183,403,11,2023-01-04,23792,2,Demo,Best Case,2023-03-22,open,,
270,541,406,26,2023-01-07,13513,1,Discovery,Best Case,2023-01-08,open,,
275,1405,414,40,2023-01-28,5723,2,Demo,Best Case,2023-01-09,open,,
292,495,436,25,2023-01-15,24135,4,Negotiation,Commit,2023-01-09,open,,
293,495,436,25,2023-01-17,14933,5,Closed,Commit,2023-01-07,lost,2023-02-20,timing
294,2035,438,49,2023-02-04,54683,3,Proposal,Omit,2023-03-07,open,,
295,2035,437,49,2023-02-05,86753,2,Demo,Commit,2023-01-06,open,,
300,2544,449,42,2023-02-04,8611,5,Closed,Best Case,2023-01-04,won,2023-05-28,
301,2544,447,42,2023-01-27,17889,5,Closed,Best Case,2023-02-22,won,2023-02-27,
302,2544,448,42,2023-01-28,20595,3,Proposal,Commit,2023-02-15,open,,
348,2587,514,24,2023-01-10,285219,5,Closed,Commit,2023-01-11,won,2023-02-02,
349,2587,514,24,2023-01-04,184154,4,Negotiation,Omit,2023-01-07,open,,
350,3081,517,21,2023-01-04,10830,1,Discovery,Omit,2023-03-11,open,,
369,3463,544,17,2023-01-09,6955,1,Discovery,Best Case,2023-01-09,open,,
377,2268,563,40,2023-01-02,12033,5,Closed,Best Case,2023-03-22,won,2023-04-17,
378,2268,563,40,2023-01-04,11237,5,Closed,Best Case,2023-01-11,won,2023-04-26,
381,2493,572,10,2023-01-09,13926,1,Discovery,Omit,2023-01-02,open,,
388,3210,582,40,2023-01-02,22233,3,Proposal,Best Case,2023-01-02,open,,
389,3210,582,40,2023-01-01,9175,5,Closed,Omit,2023-02-05,won,2023-02-28,
392,51,592,29,2023-01-03,21739,2,Demo,Commit,2023-01-08,open,,
393,51,591,29,2023-01-09,18377,0,Qualification,Best Case,2023-01-02,open,,
394,51,591,29,2023-01-05,21973,5,Closed,Commit,2023-01-11,won,2023-03-17,
397,798,596,42,2023-01-10,81862,5,Closed,Best Case,2023-01-08,lost,2023-01-17,feature_gap
398,1167,599,45,2023-01-06,20654,5,Closed,Omit,2023-01-11,lost,2023-03-28,feature_gap
399,1167,598,45,2023-01-04,21855,1,Discovery,Omit,2023-01-09,open,,
400,1167,599,45,2023-01-06,16888,3,Proposal,Commit,2020-01-01,open,,
401,3772,603,32,2023-02-10,6161,5,Closed,Commit,2023-01-03,won,2023-06-09,
403,2737,606,24,2023-03-06,20769,5,Closed,Commit,2023-01-10,won,2023-06-25,
406,3695,608,16,2023-03-02,196053,2,Demo,Best Case,2023-01-03,open,,
407,3695,609,16,2023-03-01,364469,5,Closed,Commit,2023-03-23,won,2023-04-10,
408,3695,608,16,2023-03-07,398989,5,Closed,Best Case,2023-01-05,won,2023-03-26,
409,3695,609,16,2023-03-01,203408,5,Closed,Best Case,2023-01-09,won,2023-03-15,
410,3695,608,16,2023-03-05,470423,5,Closed,Commit,2023-03-13,won,2023-04-27,
416,621,622,34,2023-01-07,12512,5,Closed,Omit,2023-03-09,won,2023-03-27,
429,1470,661,39,2023-01-09,36279,5,Closed,Commit,2023-02-25,won,2023-04-22,
430,1470,662,39,2023-01-04,67724,5,Closed,Omit,2023-03-27,won,2023-02-09,
431,1470,662,39,2023-01-03,75970,3,Proposal,Omit,2023-01-03,open,,
434,3933,666,21,2023-01-07,16963,5,Closed,Commit,2023-01-06,won,2023-04-29,
435,1624,669,25,2023-03-04,64976,1,Discovery,Commit,2023-01-02,open,,
436,1624,669,25,2023-03-07,84216,5,Closed,Omit,2023-01-02,won,2023-06-07,
440,3613,679,15,2023-01-06,21544,5,Closed,Commit,2023-03-06,won,2023-02-15,
448,580,695,14,2023-03-23,32902,4,Negotiation,Best Case,2020-01-01,open,,
449,580,,14,2023-03-22,58048,2,Demo,Best Case,2023-02-27,open,,
459,3924,712,23,2023-03-05,16664,4,Negotiation,Best Case,2023-01-02,open,,
460,3924,712,23,2023-03-05,13029,5,Closed,Commit,2020-01-01,won,2023-04-26,
464,1031,719,20,2023-01-31,9293,2,Demo,Omit,2023-01-16,open,,
470,2684,727,22,2023-01-11,85315,5,Closed,Omit,2023-02-05,won,2023-03-27,
471,2684,727,22,2023-01-07,32270,5,Closed,Omit,2020-01-01,won,2023-01-13,
472,2684,727,22,2023-01-11,86789,5,Closed,Omit,2020-01-01,won,2023-03-11,
473,2684,727,22,2023-01-04,34971,5,Closed,Omit,2023-02-08,won,2023-04-07,
483,3821,740,3,2023-01-10,23487,5,Closed,Omit,2023-01-05,won,2023-04-11,
486,3064,747,7,2023-01-03,22222,3,Proposal,Commit,2023-01-07,open,,
487,3002,749,13,2023-01-06,403797,5,Closed,Omit,2023-01-06,lost,2023-04-30,feature_gap
494,1883,766,42,2023-01-03,67193,2,Demo,Commit,2023-01-09,open,,
495,1883,765,42,2023-01-09,77577,1,Discovery,Omit,2023-01-03,open,,
496,1883,765,42,2023-01-09,43524,5,Closed,Best Case,2023-01-11,won,2023-02-08,
497,1883,765,42,2023-01-03,89474,3,Proposal,Commit,2023-01-29,open,,
498,1883,765,42,2023-01-04,49779,5,Closed,Omit,2023-01-22,won,2023-01-17,
507,2147,782,18,2023-01-08,5600,2,Demo,Commit,2023-01-24,open,,
508,2147,780,18,2023-01-04,18948,5,Closed,Best Case,2020-01-01,lost,2023-03-08,feature_gap
512,616,788,38,2023-01-01,96403,2,Demo,Omit,2023-01-09,open,,
516,1605,796,48,2023-01-03,87584,2,Demo,Best Case,2023-01-06,open,,
517,1605,796,48,2023-01-03,60654,1,Discovery,Omit,2023-01-09,open,,
519,3524,800,42,2023-01-05,391884,5,Closed,Commit,2023-03-31,lost,2023-03-30,feature_gap
520,3524,800,42,2023-01-06,482893,1,Discovery,Omit,2020-01-01,open,,
521,3524,800,42,2023-01-10,477640,2,Demo,Omit,2023-01-09,open,,
528,259,816,14,2023-03-15,80313,2,Demo,Commit,2023-02-23,open,,
529,259,816,14,2023-03-21,29026,5,Closed,Commit,2023-01-01,lost,2023-05-14,timing
541,686,837,4,2023-03-28,9970,5,Closed,Omit,2023-01-03,won,2023-07-25,
542,686,836,4,2023-03-22,22716,5,Closed,Best Case,2023-01-07,won,2023-07-01,
544,1239,841,18,2023-03-15,18439,1,Discovery,Best Case,2020-01-01,open,,
545,1239,841,18,2023-03-18,8342,1,Discovery,Best Case,2023-02-05,open,,
555,1887,853,50,2023-03-03,14576,2,Demo,Best Case,2023-01-03,open,,
556,1887,853,50,2023-03-07,8336,3,Proposal,Omit,2023-01-09,open,,
569,3371,869,19,2023-03-05,77170,3,Proposal,Omit,2023-01-06,open,,
570,3371,,19,2023-03-09,57118,5,Closed,Omit,2023-01-03,lost,2023-07-01,no_budget
571,1447,871,33,2023-01-09,20977,5,Closed,Best Case,2023-01-08,won,2023-03-06,
576,2662,880,25,2023-01-09,88217,5,Closed,Best Case,2023-01-14,won,2023-02-24,
581,3456,894,20,2023-01-04,7842,5,Closed,Best Case,2023-01-01,won,2023-03-07,
582,3456,895,20,2023-01-07,24563,5,Closed,Commit,2023-03-25,won,2023-04-01,
591,2680,913,33,2023-01-11,21458,1,Discovery,Best Case,2023-01-04,open,,
592,2680,913,33,2023-01-09,20383,5,Closed,Omit,2023-01-18,won,2023-04-04,
593,2680,914,33,2023-01-06,8319,2,Demo,Commit,2023-01-10,open,,
601,1416,927,19,2023-01-08,10271,3,Proposal,Commit,2023-03-05,open,,
606,3305,931,50,2023-01-08,47644,0,Qualification,Commit,2020-01-01,open,,
607,3305,931,50,2023-01-09,46185,2,Demo,Best Case,2020-01-01,open,,
608,3305,932,50,2023-01-09,81506,5,Closed,Commit,2023-01-17,lost,2023-02-25,timing
610,2262,940,1,2023-01-09,92626,0,Qualification,Omit,2023-01-04,open,,
611,2703,943,18,2023-01-04,41209,2,Demo,Best Case,2023-02-05,open,,
615,2838,951,31,2023-01-11,10870,5,Closed,Commit,2023-03-25,lost,2023-03-30,feature_gap
622,3703,969,10,2023-01-29,12032,3,Proposal,Best Case,2023-01-08,open,,
623,3393,971,50,2023-01-09,42683,5,Closed,Commit,2023-01-01,won,2023-03-19,
624,3393,971,50,2023-01-03,40354,2,Demo,Commit,2020-01-01,open,,
625,3393,971,50,2023-01-08,57468,5,Closed,Omit,2023-01-08,won,2023-01-31,
626,3393,971,50,2023-01-01,39200,5,Closed,Best Case,2020-01-01,won,2023-03-09,
632,1023,976,18,2023-01-06,85832,5,Closed,Best Case,2023-02-22,won,2023-02-02,
633,1023,977,18,2023-01-06,96570,1,Discovery,Omit,2023-01-11,open,,
634,1023,977,18,2023-01-04,55620,5,Closed,Best Case,2023-01-10,lost,2023-02-06,feature_gap
635,1023,976,18,2023-01-09,39739,2,Demo,Omit,2023-01-04,open,,
637,3114,983,33,2023-01-03,22391,2,Demo,Best Case,2023-02-25,open,,
640,3913,988,30,2023-01-03,17100,3,Proposal,Best Case,2023-03-09,open,,
646,1974,996,25,2023-03-26,22597,3,Proposal,Omit,2023-01-09,open,,
647,1974,996,25,2023-03-19,5980,3,Proposal,Commit,2023-01-03,open,,
649,228,1000,1,2023-02-18,18179,1,Discovery,Best Case,2023-01-10,open,,
650,228,1001,1,2023-02-22,19083,5,Closed,Best Case,2020-01-01,won,2023-04-18,
651,228,1001,1,2023-02-17,20697,3,Proposal,Omit,2020-01-01,open,,
655,3831,1005,35,2023-01-04,13678,5,Closed,Best Case,2023-01-02,won,2023-03-19,
668,1091,1020,6,2023-01-10,59162,5,Closed,Commit,2023-01-04,won,2023-04-21,
669,1091,1020,6,2023-01-11,27263,5,Closed,Omit,2023-03-17,won,2023-03-24,
670,1091,1020,6,2023-01-08,33608,5,Closed,Commit,2023-01-11,won,2023-03-14,
685,2593,1043,21,2023-01-06,10507,2,Demo,Best Case,2023-01-04,open,,
686,2593,1043,21,2023-01-05,11577,5,Closed,Omit,2023-01-01,won,2023-02-13,
687,2593,1043,21,2023-01-04,5749,5,Closed,Omit,2023-01-11,lost,2023-03-11,no_budget
696,2794,1057,26,2023-01-03,7510,2,Demo,Best Case,2023-01-06,open,,
715,1743,1080,22,2023-01-11,29427,2,Demo,Best Case,2020-01-01,open,,
716,1743,1080,22,2023-01-04,58530,5,Closed,Omit,2023-01-06,won,2023-03-24,
717,2356,1082,25,2023-02-16,22905,2,Demo,Omit,2020-01-01,open,,
721,2454,1091,46,2023-03-19,19449,5,Closed,Best Case,2023-03-22,won,2023-04-08,
722,2454,1091,46,2023-03-23,9107,5,Closed,Omit,2023-01-04,won,2023-07-09,
723,2454,1091,46,2023-03-22,6304,5,Closed,Best Case,2023-01-03,lost,2023-06-01,feature_gap
724,2454,1091,46,2023-03-26,18378,5,Closed,Commit,2023-03-02,won,2023-04-11,
727,730,1097,21,2023-01-06,6500,5,Closed,Best Case,2023-01-05,won,2023-03-22,
728,2469,1100,19,2023-01-08,15813,2,Demo,Commit,2023-02-12,open,,
734,2691,1112,24,2023-02-21,80301,5,Closed,Omit,2023-01-21,won,2023-06-16,
735,2691,1114,24,2023-02-17,54841,1,Discovery,Commit,2023-01-07,open,,
736,2691,1114,24,2023-02-21,53518,5,Closed,Best Case,2023-01-10,won,2023-04-16,
737,3432,1116,23,2023-01-05,73703,5,Closed,Omit,2023-02-06,won,2023-04-13,
739,171,1126,35,2023-01-01,96579,3,Proposal,Best Case,2023-01-06,open,,
742,3425,1130,27,2023-01-09,8462,5,Closed,Best Case,2023-01-09,won,2023-04-25,
743,3425,1131,27,2023-01-11,6126,1,Discovery,Omit,2023-01-04,open,,
744,3425,1129,27,2023-01-07,15096,2,Demo,Commit,2023-01-08,open,,
754,1310,1148,26,2023-01-07,20041,5,Closed,Commit,2023-01-03,won,2023-03-17,
755,1310,1147,26,2023-01-06,5335,2,Demo,Best Case,2023-01-23,open,,
756,1310,1147,26,2023-01-02,22986,3,Proposal,Commit,2023-03-14,open,,
757,1310,1147,26,2023-01-06,8116,2,Demo,Commit,2023-02-10,open,,
765,3480,1156,22,2023-01-08,9642,5,Closed,Commit,2023-01-12,won,2023-01-26,
771,2824,1174,24,2023-01-16,11752,5,Closed,Commit,2020-01-01,lost,2023-03-14,feature_gap
772,2824,1175,24,2023-01-09,11815,2,Demo,Commit,2023-01-05,open,,
776,923,1185,8,2023-02-01,15670,2,Demo,Best Case,2023-01-09,open,,
777,923,1183,8,2023-01-23,8505,1,Discovery,Best Case,2023-01-03,open,,
782,1319,1193,47,2023-01-07,9432,2,Demo,Omit,2023-01-04,open,,
783,1319,1192,47,2023-01-09,21836,3,Proposal,Omit,2023-03-09,open,,
784,1319,1192,47,2023-01-09,24411,3,Proposal,Omit,2023-03-08,open,,
810,1044,1223,26,2023-02-04,25519,2,Demo,Best Case,2023-01-27,open,,
811,1044,1223,26,2023-01-30,70430,1,Discovery,Best Case,2020-01-01,open,,
812,1044,1223,26,2023-02-07,95779,3,Proposal,Commit,2023-01-08,open,,
817,2460,1234,9,2023-01-10,6858,2,Demo,Omit,2023-01-04,open,,
822,1809,1242,22,2023-01-21,268985,5,Closed,Best Case,2023-01-02,won,2023-03-24,
823,1809,1242,22,2023-01-23,239947,5,Closed,Commit,2023-01-06,lost,2023-03-22,feature_gap
824,1809,1242,22,2023-01-20,448266,2,Demo,Commit,2023-01-24,open,,
825,2914,1243,14,2023-01-08,6863,3,Proposal,Omit,2023-03-28,open,,
826,551,1245,16,2023-01-10,10012,5,Closed,Omit,2020-01-01,won,2023-05-03,
827,551,1245,16,2023-01-09,14277,5,Closed,Best Case,2023-01-04,lost,2023-03-06,no_decision
830,2277,1247,33,2023-01-09,17685,1,Discovery,Omit,2023-01-04,open,,
838,3157,1256,8,2023-01-01,14755,5,Closed,Commit,2023-01-28,lost,2023-02-17,timing
839,3157,1257,8,2023-01-03,22549,5,Closed,Best Case,2020-01-01,won,2023-03-10,
842,3605,1263,21,2023-01-07,22650,2,Demo,Commit,2023-01-09,open,,
854,3040,1281,43,2023-03-24,78385,5,Closed,Omit,2023-02-13,lost,2023-03-30,no_budget
855,3040,1281,43,2023-03-21,75594,1,Discovery,Omit,2023-01-20,open,,
870,2853,1307,47,2023-02-15,38616,2,Demo,Commit,2023-03-15,open,,
871,3611,1309,10,2023-01-09,16097,2,Demo,Best Case,2023-01-02,open,,
874,813,1317,23,2023-01-11,6020,2,Demo,Omit,2023-01-03,open,,
875,813,1316,23,2023-01-07,12534,2,Demo,Commit,2023-03-31,open,,
876,813,1317,23,2023-01-08,8941,5,Closed,Best Case,2023-03-22,won,2023-02-05,
878,2099,1324,5,2023-01-03,19578,1,Discovery,Omit,2023-01-11,open,,
879,2099,1324,5,2023-01-09,9206,5,Closed,Omit,2023-01-07,won,2023-02-05,
880,3043,1326,35,2023-01-05,53148,5,Closed,Best Case,2023-01-03,won,2023-03-11,
885,2497,1339,35,2023-01-15,18951,5,Closed,Best Case,2023-01-10,won,2023-03-14,
886,2497,1339,35,2023-01-15,15855,1,Discovery,Best Case,2023-01-09,open,,
887,2497,1339,35,2023-01-07,7974,4,Negotiation,Best Case,2023-01-03,open,,
893,3911,1348,6,2023-01-04,16811,2,Demo,Omit,2023-03-12,open,,
894,3911,1347,6,2023-01-05,16658,2,Demo,Commit,2023-01-18,open,,
897,655,1356,26,2023-01-01,134000,3,Proposal,Best Case,2023-01-09,open,,
898,655,1355,26,2023-01-01,116314,4,Negotiation,Commit,2023-01-11,open,,
899,655,1356,26,2023-01-08,181170,3,Proposal,Commit,2023-01-10,open,,
900,1068,1357,23,2023-03-28,13875,5,Closed,Commit,2023-01-07,won,2023-06-04,
905,2993,1366,6,2023-01-09,13646,1,Discovery,Omit,2023-01-10,open,,
906,2993,1367,6,2023-01-09,13824,1,Discovery,Best Case,2023-01-09,open,,
907,2993,1365,6,2023-01-01,21118,5,Closed,Omit,2023-01-10,won,2023-02-24,
914,1218,1375,16,2023-01-05,50436,5,Closed,Best Case,2023-01-05,won,2023-01-18,
918,1302,1382,19,2023-02-13,9335,5,Closed,Best Case,2023-03-11,won,2023-04-25,
919,3171,1386,42,2023-01-05,10585,3,Proposal,Commit,2023-01-09,open,,
940,3172,1413,35,2023-01-10,23691,5,Closed,Commit,2020-01-01,won,2023-04-02,
947,1988,1433,36,2023-01-07,72659,5,Closed,Commit,2023-01-02,won,2023-03-22,
948,1988,1434,36,2023-01-07,90320,5,Closed,Commit,2023-02-05,won,2023-04-12,
951,3650,1442,36,2023-01-01,44778,3,Proposal,Commit,2023-01-01,open,,
954,1818,1446,48,2023-01-02,55667,5,Closed,Best Case,2023-01-03,won,2023-02-03,
955,1818,1446,48,2023-01-09,28224,2,Demo,Best Case,2023-01-16,open,,
956,1818,1446,48,2023-01-10,70274,5,Closed,Commit,2020-01-01,won,2023-04-17,
984,3123,1483,6,2023-03-21,21051,3,Proposal,Best Case,2023-01-27,open,,
985,3123,1483,6,2023-03-24,6204,5,Closed,Best Case,2020-01-01,won,2023-06-16,
986,3123,1483,6,2023-03-20,8584,5,Closed,Commit,2020-01-01,won,2023-06-09,
1005,1595,1518,8,2023-01-11,51945,0,Qualification,Commit,2023-01-04,open,,
1006,1595,1518,8,2023-01-01,39478,5,Closed,Best Case,2023-01-06,won,2023-02-06,
1007,1595,1518,8,2023-01-01,47468,3,Proposal,Best Case,2023-01-08,open,,
1008,1595,1518,8,2023-01-10,35424,2,Demo,Best Case,2023-01-08,open,,
1015,2209,1531,13,2023-01-04,72629,3,Proposal,Best Case,2023-01-04,open,,
1016,2209,1531,13,2023-01-02,87835,5,Closed,Omit,2023-01-01,won,2023-01-10,
1020,2799,1537,37,2023-02-13,18898,5,Closed,Omit,2023-02-14,won,2023-05-24,
1021,2799,1537,37,2023-02-14,7815,2,Demo,Best Case,2023-03-25,open,,
1022,2799,1538,37,2023-02-15,11868,1,Discovery,Omit,2023-01-30,open,,
1035,3104,1550,5,2023-01-09,20556,5,Closed,Omit,2020-01-01,won,2023-03-08,
1042,3470,1562,19,2023-01-02,439980,2,Demo,Commit,2023-01-22,open,,
1043,3470,1561,19,2023-01-02,102625,5,Closed,Omit,2023-01-10,won,2023-01-22,
1044,3470,1561,19,2023-01-02,209949,4,Negotiation,Omit,2023-02-18,open,,
1045,3470,1561,19,2023-01-11,387595,5,Closed,Commit,2020-01-01,lost,2023-01-29,feature_gap
1046,3470,1562,19,2023-01-03,171460,5,Closed,Omit,2023-03-26,won,2023-01-30,
1059,2904,1583,17,2023-03-06,24092,5,Closed,Omit,2023-01-10,lost,2023-06-20,no_decision
1062,3738,1590,12,2023-01-01,5131,3,Proposal,Omit,2023-02-04,open,,
1067,3056,1595,10,2023-01-01,81053,2,Demo,Commit,2023-01-09,open,,
1092,2683,1624,6,2023-03-04,78113,2,Demo,Commit,2023-01-05,open,,
1093,2683,1624,6,2023-03-09,61611,4,Negotiation,Commit,2023-01-27,open,,
1094,3416,1625,24,2023-01-24,17445,1,Discovery,Best Case,2023-01-09,open,,
1095,3416,1625,24,2023-01-22,21964,2,Demo,Best Case,2023-01-06,open,,
1101,1999,1635,12,2023-01-03,5508,3,Proposal,Commit,2023-01-03,open,,
1114,944,1646,44,2023-01-07,7512,0,Qualification,Best Case,2023-01-07,open,,
1115,944,1646,44,2023-01-10,11487,2,Demo,Omit,2023-01-01,open,,
1121,3716,1657,17,2023-01-05,13579,3,Proposal,Omit,2023-01-01,open,,
1122,3716,1657,17,2023-01-03,5640,5,Closed,Omit,2023-01-06,won,2023-04-26,
1149,2767,1688,14,2023-03-24,22752,5,Closed,Best Case,2023-01-05,won,2023-05-10,
1151,1880,1697,16,2023-03-01,7126,2,Demo,Best Case,2023-01-03,open,,
1164,3442,1706,40,2023-02-15,6990,3,Proposal,Omit,2023-01-07,open,,
1178,2157,1720,26,2023-01-03,5011,1,Discovery,Commit,2023-01-08,open,,
1182,3539,1724,6,2023-03-11,22665,2,Demo,Commit,2023-03-04,open,,
1196,2844,1734,21,2023-01-07,22903,3,Proposal,Omit,2023-01-16,open,,
1197,986,1737,34,2023-01-10,21715,5,Closed,Omit,2020-01-01,lost,2023-03-27,no_decision
1198,986,1736,34,2023-01-08,20910,1,Discovery,Omit,2023-02-21,open,,
1222,1397,317,3,2023-01-03,9754,5,Closed,Best Case,2023-01-05,won,2023-01-20,
1223,1397,13,3,2023-01-05,7444,3,Proposal,Commit,2023-01-09,open,,
1224,1397,2863,3,2023-01-01,8321,5,Closed,Commit,2023-03-27,lost,2023-03-19,no_decision
1225,2283,1764,39,2023-03-22,16358,5,Closed,Omit,2023-02-28,won,2023-04-13,
1226,2283,1765,39,2023-03-19,22355,5,Closed,Best Case,2020-01-01,won,2023-05-14,
1227,2283,1764,39,2023-03-18,18078,5,Closed,Commit,2023-01-06,won,2023-04-14,
1228,856,1774,10,2023-03-18,17911,5,Closed,Omit,2023-01-10,won,2023-06-03,
1229,856,1776,10,2023-03-23,18605,1,Discovery,Omit,2023-01-08,open,,
1241,3079,1795,14,2023-01-04,89645,2,Demo,Commit,2023-02-16,open,,
1242,3079,1794,14,2023-01-11,45128,3,Proposal,Commit,2023-02-13,open,,
1243,3079,1795,14,2023-01-07,98160,0,Qualification,Commit,2023-01-10,open,,
1245,3763,8077,11,2023-01-06,81622,5,Closed,Commit,2023-01-07,won,2023-03-29,
1246,3763,8078,11,2023-01-04,67433,5,Closed,Best Case,2023-01-27,lost,2023-05-01,timing
