campaign_id,month,channel_cost_type,amount,region
67,2024-10-01,martech,4527.53,North
52,2024-12-01,media,38401.83,North
39,2024-05-01,martech,2654.67,East
1,2024-11-01,media,18691.78,South
45,2023-07-01,agency_fee,8659.72,West
1,2023-08-01,agency_fee,5582.45,East
11,2024-03-01,martech,4138.25,International
39,2023-01-01,agency_fee,1883.71,South
48,2024-03-01,media,42874.55,West
26,2023-02-01,agency_fee,8105.94,West
4,2023-08-01,agency_fee,5294.01,North
60,2023-04-01,martech,4558.72,East
13,2023-07-01,agency_fee,5709.62,South
39,2024-10-01,agency_fee,9540.33,East
44,2024-05-01,media,44767.75,International
39,2024-08-01,agency_fee,7307.79,North
21,2023-12-01,agency_fee,1800.36,International
38,2024-12-01,media,36618.49,East
20,2023-10-01,media,48519.22,East
13,2023-11-01,martech,2143.41,International
20,2024-04-01,martech,4824.1,South
53,2023-09-01,agency_fee,9688.13,International
23,2023-07-01,media,18031.97,South
19,2024-01-01,agency_fee,7116.84,International
60,2023-07-01,agency_fee,9772.75,South
70,2023-11-01,martech,1811.08,East
34,2023-08-01,media,27817.44,South
27,2024-02-01,media,19554.24,West
7,2023-10-01,martech,521.13,South
65,2024-02-01,agency_fee,1671.0,North
21,2023-11-01,martech,617.38,East
40,2024-03-01,martech,2781.73,East
16,2024-10-01,media,48369.46,International
6,2024-07-01,media,11176.86,International
52,2023-05-01,agency_fee,8543.2,North
23,2023-09-01,agency_fee,1523.91,East
60,2024-05-01,martech,4879.11,East
9,2024-03-01,martech,2391.98,East
55,2024-05-01,agency_fee,6524.95,North
64,2024-08-01,media,6367.39,International
11,2023-09-01,martech,1680.64,International
22,2024-05-01,martech,957.43,East
37,2023-10-01,media,6820.12,International
50,2024-05-01,media,19839.23,International
23,2023-09-01,media,24444.04,West
6,2024-04-01,martech,1613.29,East
38,2024-11-01,media,3277.71,International
3,2024-07-01,agency_fee,6220.74,East
11,2023-10-01,agency_fee,4071.82,West
39,2023-07-01,agency_fee,1317.6,East
16,2024-07-01,martech,4001.24,West
2,2024-04-01,agency_fee,2203.12,West
5,2023-10-01,martech,2521.2,South
60,2023-12-01,martech,4519.63,South
58,2024-05-01,martech,4064.82,South
65,2024-08-01,martech,4475.66,International
47,2023-11-01,martech,2192.45,North
7,2023-09-01,media,27407.08,North
15,2024-02-01,agency_fee,8722.62,North
57,2023-09-01,martech,2031.68,International
26,2024-02-01,martech,588.94,North
11,2024-01-01,agency_fee,8713.47,North
11,2023-12-01,media,6722.36,North
14,2023-12-01,agency_fee,6485.07,South
19,2023-10-01,agency_fee,5264.68,West
60,2023-08-01,media,38456.51,International
52,2024-11-01,martech,873.6,West
28,2024-09-01,martech,725.54,International
60,2024-12-01,media,3537.39,International
33,2024-11-01,agency_fee,5545.63,North
39,2024-06-01,media,49738.94,International
48,2024-07-01,media,32557.99,East
17,2023-08-01,martech,912.55,North
40,2023-08-01,agency_fee,9239.62,International
60,2023-10-01,agency_fee,3282.24,North
45,2024-01-01,media,3853.29,North
39,2024-05-01,media,6121.89,West
26,2023-01-01,agency_fee,6616.94,International
43,2023-07-01,martech,1636.65,North
39,2023-09-01,martech,4265.62,West
64,2024-08-01,martech,2444.24,International
24,2023-07-01,martech,3832.02,International
23,2023-08-01,media,16683.54,East
51,2023-11-01,agency_fee,5086.78,East
65,2024-05-01,agency_fee,3092.66,West
19,2023-03-01,agency_fee,8084.68,West
32,2024-08-01,media,37303.89,North
34,2023-01-01,media,32081.81,West
39,2023-08-01,martech,4029.02,East
43,2023-05-01,media,8814.87,West
8,2023-11-01,martech,1215.46,East
57,2023-06-01,media,21567.01,West
58,2024-04-01,media,4648.16,East
33,2024-08-01,agency_fee,3680.72,South
4,2024-03-01,martech,3215.6,North
26,2023-06-01,media,33547.71,North
29,2024-05-01,martech,2009.9,North
26,2024-08-01,martech,3464.68,North
54,2024-06-01,agency_fee,3860.89,West
66,2024-04-01,agency_fee,9708.79,South
46,2024-03-01,media,5901.8,South
27,2023-04-01,agency_fee,8237.71,International
22,2023-11-01,agency_fee,2292.66,South
63,2024-12-01,agency_fee,6925.25,West
44,2024-05-01,agency_fee,8703.82,International
59,2023-08-01,martech,732.07,North
40,2024-11-01,agency_fee,5804.15,East
18,2023-07-01,media,10666.05,West
47,2023-12-01,media,48429.79,South
36,2024-09-01,martech,720.63,East
10,2023-10-01,martech,3324.9,North
23,2023-10-01,agency_fee,6488.15,North
49,2024-02-01,media,43529.19,International
10,2023-11-01,media,41438.16,International
10,2024-08-01,martech,4276.82,West
19,2023-12-01,agency_fee,6352.61,East
18,2023-03-01,agency_fee,5323.3,South
67,2024-09-01,media,13855.86,North
39,2024-06-01,agency_fee,7560.5,West
40,2024-02-01,martech,3512.45,North
62,2024-02-01,media,17836.45,East
40,2024-07-01,martech,1591.54,West
28,2023-10-01,media,40909.72,International
62,2024-10-01,media,41559.01,East
34,2024-08-01,media,19601.2,South
19,2023-03-01,martech,1388.11,West
12,2024-04-01,martech,3922.0,East
10,2023-03-01,agency_fee,6363.75,South
7,2024-04-01,martech,2823.26,West
34,2024-02-01,media,39851.75,West
34,2023-04-01,martech,3603.27,West
34,2023-09-01,martech,2471.32,South
25,2023-07-01,martech,1791.44,International
21,2024-06-01,media,2912.58,North
2,2023-08-01,media,16902.2,West
1,2023-09-01,agency_fee,5535.73,East
41,2024-11-01,martech,1690.21,North
42,2023-08-01,martech,4213.23,East
60,2024-10-01,media,5574.45,International
21,2024-05-01,martech,1866.54,North
33,2024-04-01,martech,1486.06,West
45,2024-04-01,agency_fee,9192.54,South
59,2023-06-01,agency_fee,8796.05,West
37,2024-08-01,martech,3652.79,East
23,2023-08-01,agency_fee,9896.88,North
7,2024-05-01,martech,2191.14,West
38,2024-05-01,agency_fee,2253.38,West
50,2024-03-01,agency_fee,2084.64,International
62,2024-08-01,media,21568.86,International
64,2024-06-01,agency_fee,6793.06,International
10,2024-10-01,media,17047.57,South
10,2023-10-01,media,34113.83,North
13,2023-08-01,agency_fee,7797.03,International
36,2023-11-01,martech,2791.48,International
51,2024-11-01,media,38746.32,East
36,2024-03-01,martech,3085.78,South
55,2024-02-01,agency_fee,5138.28,International
45,2023-10-01,martech,4708.36,West
38,2024-02-01,martech,4925.03,West
20,2023-11-01,martech,4764.88,South
7,2024-04-01,agency_fee,5593.18,South
48,2024-08-01,agency_fee,1266.04,East
22,2024-04-01,martech,4906.47,East
1,2024-08-01,martech,946.87,International
41,2024-05-01,agency_fee,2890.01,North
1,2024-05-01,martech,4910.52,South
10,2023-10-01,agency_fee,8534.41,East
32,2024-11-01,martech,1784.79,South
40,2023-01-01,martech,3425.4,West
70,2024-12-01,martech,665.17,North
27,2023-01-01,martech,3633.86,South
16,2023-12-01,martech,4197.21,North
67,2024-06-01,martech,673.38,South
22,2023-09-01,agency_fee,8160.18,International
30,2023-10-01,martech,3375.01,South
41,2023-11-01,agency_fee,4066.67,North
16,2024-06-01,martech,2160.86,South
30,2023-10-01,agency_fee,4163.04,East
35,2023-07-01,agency_fee,2066.59,West
70,2024-09-01,martech,3957.61,East
22,2023-08-01,media,6261.08,South
66,2024-03-01,agency_fee,8667.84,North
54,2024-06-01,martech,3178.38,North
6,2024-06-01,agency_fee,3823.53,International
2,2023-03-01,agency_fee,1252.27,West
33,2024-06-01,agency_fee,3567.89,North
50,2024-09-01,media,23884.44,International
20,2023-06-01,media,43658.62,East
48,2024-09-01,media,6846.23,West
9,2024-04-01,agency_fee,3620.99,West
38,2024-10-01,agency_fee,4963.38,West
63,2023-12-01,martech,3474.13,International
3,2024-03-01,agency_fee,5090.89,International
26,2024-07-01,media,34742.37,International
54,2023-12-01,agency_fee,4844.93,South
20,2024-01-01,martech,4307.53,West
60,2023-09-01,agency_fee,2002.82,South
25,2023-06-01,agency_fee,7038.37,West
51,2024-05-01,martech,1764.52,North
50,2024-03-01,martech,944.65,International
18,2023-08-01,media,12942.84,West
41,2024-01-01,agency_fee,5101.79,North
46,2024-07-01,media,27411.97,International
66,2024-04-01,media,15347.46,North
55,2024-07-01,media,14421.32,North
19,2024-03-01,media,33639.46,East
19,2023-07-01,agency_fee,1119.59,South
2,2024-09-01,agency_fee,3140.3,West
10,2023-03-01,media,17060.65,East
18,2023-06-01,agency_fee,4500.83,West
40,2023-12-01,agency_fee,5502.1,West
34,2024-11-01,media,31542.74,South
15,2024-08-01,media,41516.44,International
2,2024-04-01,martech,3637.38,East
36,2024-03-01,agency_fee,8243.96,East
54,2024-04-01,media,23850.48,International
63,2024-04-01,agency_fee,7537.92,West
4,2024-04-01,agency_fee,6856.68,International
51,2023-10-01,agency_fee,5054.84,International
2,2024-05-01,agency_fee,8884.68,International
27,2024-08-01,agency_fee,2334.13,South
52,2023-06-01,martech,685.91,West
20,2023-10-01,agency_fee,9440.09,International
1,2024-03-01,agency_fee,5386.17,East
42,2024-02-01,agency_fee,6601.07,West
37,2024-03-01,agency_fee,9705.24,South
2,2023-09-01,martech,2633.8,International
45,2023-12-01,agency_fee,9713.52,South
66,2024-03-01,martech,2944.68,East
34,2024-07-01,media,20057.95,East
10,2024-12-01,media,35662.56,South
54,2023-12-01,media,26421.0,East
28,2023-12-01,martech,1491.27,North
34,2023-05-01,media,34069.18,North
6,2024-05-01,martech,3379.58,North
5,2024-06-01,martech,4214.16,West
52,2023-04-01,martech,4767.36,International
56,2024-03-01,martech,2461.96,North
67,2024-05-01,agency_fee,2696.5,East
65,2024-09-01,media,22966.76,North
27,2024-08-01,martech,539.07,International
10,2023-12-01,media,21975.65,West
54,2024-05-01,media,20494.78,International
67,2024-03-01,martech,3005.35,West
34,2023-11-01,agency_fee,7919.41,North
45,2024-04-01,martech,1015.13,West
36,2024-01-01,agency_fee,1901.69,West
21,2024-03-01,martech,3794.39,South
23,2023-11-01,martech,1157.4,East
45,2023-07-01,martech,1685.07,International
48,2024-01-01,agency_fee,5159.39,South
43,2023-03-01,agency_fee,2565.51,North
27,2024-10-01,martech,3885.62,South
37,2024-02-01,martech,4544.41,South
44,2024-07-01,martech,2647.37,East
48,2024-06-01,agency_fee,9580.89,North
22,2023-09-01,martech,4871.9,West
45,2024-01-01,martech,4659.76,South
28,2023-07-01,media,35475.8,West
60,2024-10-01,martech,569.96,International
63,2024-12-01,martech,3030.8,North
22,2023-04-01,agency_fee,3210.7,South
42,2023-11-01,media,28484.99,International
60,2024-01-01,media,46327.51,North
1,2024-03-01,martech,2346.22,International
33,2024-11-01,martech,1345.13,East
10,2023-07-01,agency_fee,1647.39,East
64,2024-12-01,agency_fee,4818.78,East
60,2024-11-01,martech,4856.64,East
49,2023-12-01,martech,1640.06,North
60,2023-05-01,martech,4210.48,South
33,2024-10-01,martech,1895.12,South
22,2023-03-01,media,37300.93,North
54,2023-08-01,media,6368.69,East
59,2023-06-01,martech,4526.09,West
31,2024-03-01,agency_fee,7386.6,South
23,2024-06-01,agency_fee,5286.53,International
41,2024-06-01,media,27627.78,North
7,2023-12-01,martech,2794.0,West
10,2024-02-01,agency_fee,9445.43,East
63,2024-03-01,martech,1685.01,West
8,2023-12-01,agency_fee,5982.88,North
55,2024-10-01,martech,3809.87,South
38,2024-05-01,media,34785.91,North
51,2024-12-01,agency_fee,8435.6,South
23,2024-04-01,agency_fee,1839.01,East
38,2024-09-01,agency_fee,7119.57,International
69,2023-05-01,martech,2809.32,West
34,2023-07-01,agency_fee,7259.31,West
45,2024-06-01,media,33194.09,East
34,2024-02-01,agency_fee,4165.9,North
55,2024-02-01,media,47484.79,International
34,2024-05-01,agency_fee,5170.8,North
50,2024-08-01,media,29704.87,West
69,2023-04-01,martech,4915.1,West
67,2024-08-01,martech,1230.52,East
20,2023-12-01,agency_fee,5425.12,West
11,2024-02-01,media,45038.02,West
52,2024-10-01,media,48543.1,West
52,2024-07-01,media,3054.34,International
1,2024-10-01,martech,3959.52,South
55,2024-02-01,martech,2081.51,North
26,2024-07-01,agency_fee,9555.16,North
62,2024-04-01,media,43975.63,International
39,2023-05-01,agency_fee,8785.85,South
8,2024-01-01,martech,2251.05,South
70,2024-03-01,agency_fee,9613.25,East
20,2023-05-01,agency_fee,8330.79,North
56,2023-09-01,martech,2080.25,East
41,2024-08-01,media,8756.21,East
1,2023-03-01,martech,760.64,North
15,2024-11-01,martech,3006.73,West
17,2023-04-01,agency_fee,5384.97,International
10,2024-08-01,agency_fee,3779.24,West
34,2023-12-01,agency_fee,8110.98,East
70,2024-11-01,agency_fee,8509.6,West
50,2024-02-01,martech,1018.13,North
24,2023-07-01,media,14925.95,East
63,2024-02-01,media,35700.03,International
69,2023-06-01,media,34668.74,East
42,2023-10-01,media,8785.3,North
45,2024-02-01,media,20200.9,North
62,2024-03-01,agency_fee,1295.03,West
22,2024-04-01,media,13053.12,International
20,2023-02-01,agency_fee,7097.35,International
39,2024-11-01,agency_fee,8842.31,East
27,2024-04-01,agency_fee,8859.06,West
41,2024-06-01,martech,641.09,North
70,2024-07-01,media,3544.51,West
20,2023-06-01,agency_fee,4263.84,East
44,2024-12-01,agency_fee,5174.82,International
51,2024-01-01,agency_fee,4015.16,West
54,2023-08-01,martech,1824.79,West
51,2023-12-01,agency_fee,2705.92,West
47,2023-09-01,martech,3242.8,International
45,2023-08-01,agency_fee,2542.08,West
58,2023-12-01,media,21787.0,East
26,2023-07-01,martech,4977.26,West
45,2023-05-01,media,18116.32,West
48,2024-11-01,media,31078.68,South
42,2023-11-01,agency_fee,3973.71,North
1,2024-04-01,media,37450.91,East
43,2023-08-01,agency_fee,7921.79,West
39,2023-07-01,martech,1404.66,North
1,2024-09-01,agency_fee,3725.3,International
41,2024-04-01,media,12903.49,West
38,2024-07-01,agency_fee,1337.05,South
50,2024-11-01,media,28420.18,East
24,2023-11-01,media,28444.3,North
70,2024-03-01,martech,2496.63,West
50,2023-08-01,martech,2518.86,North
28,2024-03-01,media,21006.06,International
20,2024-07-01,media,46181.3,West
40,2023-11-01,martech,2988.4,South
33,2024-08-01,media,36428.97,East
32,2024-11-01,media,39926.95,North
53,2023-09-01,martech,3441.2,North
15,2024-09-01,media,15145.71,East
13,2023-10-01,media,23503.32,East
30,2023-07-01,agency_fee,9463.27,West
56,2023-11-01,agency_fee,9207.58,West
50,2023-01-01,martech,597.58,South
35,2023-04-01,media,38352.87,International
27,2024-01-01,agency_fee,9478.96,North
58,2024-05-01,agency_fee,6776.75,East
55,2024-10-01,media,24606.66,West
17,2023-07-01,martech,3021.62,East
11,2023-06-01,agency_fee,4040.98,West
14,2024-01-01,agency_fee,5478.07,North
48,2024-07-01,agency_fee,6315.06,East
37,2024-04-01,agency_fee,7028.69,International
20,2023-05-01,martech,916.78,West
56,2023-06-01,media,17805.42,East
52,2024-02-01,agency_fee,7483.55,East
2,2023-01-01,martech,2740.31,South
37,2024-08-01,agency_fee,5712.58,South
48,2024-05-01,media,8516.84,North
49,2023-09-01,agency_fee,9195.09,East
11,2024-05-01,agency_fee,4539.88,East
60,2024-04-01,agency_fee,6874.08,International
67,2024-10-01,media,30199.55,East
27,2023-03-01,agency_fee,5798.53,West
18,2023-02-01,media,20911.79,International
11,2023-09-01,agency_fee,9217.44,International
10,2024-12-01,agency_fee,6270.45,East
38,2024-08-01,martech,2292.92,East
27,2023-05-01,agency_fee,9027.85,International
50,2023-12-01,martech,1561.89,International
1,2023-07-01,media,49807.61,International
20,2024-02-01,media,22482.46,International
2,2023-10-01,media,10733.11,South
52,2024-09-01,agency_fee,6625.29,International
38,2024-04-01,media,31024.47,North
34,2024-12-01,martech,561.6,South
19,2023-09-01,media,23884.45,International
63,2024-07-01,agency_fee,5720.7,West
13,2023-09-01,agency_fee,6895.86,International
20,2024-10-01,agency_fee,4591.63,South
36,2024-06-01,martech,4321.51,North
50,2024-07-01,martech,2080.88,North
4,2024-02-01,media,19661.32,West
41,2024-02-01,martech,2900.79,International
19,2024-02-01,martech,1216.04,West
55,2024-08-01,media,37063.27,East
26,2024-02-01,agency_fee,7216.36,West
27,2023-11-01,media,42432.84,North
70,2024-02-01,media,38870.04,West
27,2024-12-01,agency_fee,1914.66,North
11,2023-07-01,martech,2915.15,North
22,2023-10-01,agency_fee,6760.93,South
40,2024-07-01,media,31648.3,North
50,2023-06-01,media,31848.15,South
20,2023-06-01,martech,2215.2,South
65,2024-05-01,martech,2414.94,North
68,2023-07-01,media,8184.66,East
23,2024-06-01,martech,719.63,West
37,2024-07-01,martech,4203.72,North
10,2023-08-01,media,29472.26,International
51,2024-06-01,martech,2207.07,International
9,2023-12-01,agency_fee,1786.23,South
39,2024-05-01,agency_fee,1073.65,South
51,2024-02-01,agency_fee,6556.22,West
50,2023-04-01,media,5704.0,West
41,2024-06-01,agency_fee,8181.75,North
21,2024-07-01,martech,2844.79,North
10,2023-01-01,martech,2353.18,East
9,2024-06-01,media,42655.61,West
20,2023-05-01,media,31312.71,South
65,2024-02-01,media,27171.73,International
34,2024-04-01,agency_fee,1750.84,South
60,2024-12-01,martech,2430.35,North
55,2024-06-01,agency_fee,3081.17,North
50,2024-02-01,media,19920.08,South
67,2024-12-01,agency_fee,9242.38,South
26,2024-03-01,agency_fee,7902.19,South
49,2024-02-01,martech,4315.75,South
59,2023-07-01,agency_fee,8492.94,South
57,2023-10-01,martech,1877.88,East
52,2024-08-01,media,45105.63,South
50,2024-12-01,martech,654.23,East
10,2023-03-01,martech,3910.69,West
47,2023-08-01,martech,4389.32,North
26,2024-07-01,martech,4008.88,North
18,2023-06-01,martech,3662.16,North
26,2023-12-01,agency_fee,7523.48,South
19,2023-06-01,agency_fee,1003.9,North
51,2024-12-01,media,18404.63,South
35,2023-06-01,martech,2974.46,East
3,2024-07-01,martech,2146.71,North
54,2024-06-01,media,46753.32,North
60,2023-07-01,martech,1040.97,South
64,2024-08-01,agency_fee,9371.31,International
15,2024-01-01,martech,3234.75,South
27,2023-09-01,martech,1889.49,South
12,2024-06-01,martech,4581.97,West
63,2024-09-01,media,25882.76,South
31,2024-04-01,martech,1791.31,International
1,2023-08-01,martech,3310.1,North
45,2023-08-01,martech,3347.82,West
45,2024-02-01,agency_fee,2865.63,South
14,2023-05-01,media,19657.23,International
45,2023-04-01,martech,1924.05,South
43,2023-07-01,agency_fee,2441.56,International
33,2024-08-01,martech,4698.76,West
45,2024-05-01,martech,1482.0,West
51,2024-12-01,martech,3826.42,East
70,2024-06-01,martech,4820.3,South
16,2024-09-01,martech,3572.3,South
30,2023-10-01,media,8979.01,International
27,2024-11-01,media,11550.96,International
10,2024-01-01,martech,2910.23,South
10,2024-06-01,agency_fee,9700.39,East
66,2024-08-01,martech,3442.53,North
7,2024-01-01,agency_fee,5656.69,North
21,2024-09-01,agency_fee,6876.1,East
60,2023-01-01,martech,3073.72,North
22,2024-02-01,agency_fee,6973.37,South
40,2024-12-01,martech,1319.07,International
38,2023-12-01,media,14346.98,West
50,2023-02-01,media,48292.23,International
64,2024-09-01,agency_fee,9448.03,West
22,2024-03-01,media,11777.38,International
26,2023-11-01,media,13930.64,East
60,2023-07-01,media,31091.7,West
40,2024-12-01,agency_fee,9010.47,West
67,2024-04-01,agency_fee,3363.97,East
10,2023-12-01,martech,2792.39,North
46,2023-12-01,media,27866.68,South
50,2024-03-01,media,2411.16,East
31,2024-12-01,agency_fee,7286.37,West
27,2024-08-01,media,39481.2,International
5,2024-01-01,agency_fee,9779.67,West
13,2024-03-01,media,15574.75,West
38,2024-10-01,media,16482.59,East
37,2024-07-01,media,22056.76,East
39,2024-03-01,media,17686.34,North
63,2023-09-01,media,44602.88,West
31,2024-09-01,media,46683.69,West
26,2024-09-01,martech,617.83,East
52,2023-08-01,martech,4525.54,South
30,2023-08-01,agency_fee,1571.67,East
2,2023-06-01,martech,3752.88,East
27,2024-07-01,agency_fee,4651.48,International
56,2023-08-01,martech,877.15,East
13,2024-02-01,agency_fee,5129.98,International
52,2024-05-01,agency_fee,9615.1,North
47,2023-08-01,media,6099.09,International
70,2024-07-01,martech,3319.99,East
59,2023-10-01,media,16322.62,North
36,2024-07-01,agency_fee,4789.07,International
43,2023-05-01,agency_fee,7031.02,International
63,2024-10-01,media,17806.89,East
43,2023-06-01,agency_fee,2374.04,East
27,2023-10-01,martech,3175.04,North
59,2023-11-01,agency_fee,6886.35,East
50,2024-11-01,martech,1357.4,South
20,2024-09-01,martech,2151.54,North
36,2024-05-01,media,25174.43,International
8,2023-12-01,martech,4453.54,West
52,2024-04-01,media,28395.28,International
19,2023-09-01,agency_fee,4934.63,East
40,2023-08-01,media,25890.63,West
39,2023-09-01,agency_fee,2213.0,East
63,2024-07-01,media,30107.71,North
61,2023-05-01,media,36257.92,International
14,2023-07-01,media,28415.77,North
10,2024-07-01,martech,4717.42,International
17,2023-09-01,agency_fee,6057.78,International
23,2024-01-01,martech,3397.52,International
60,2023-06-01,media,4159.16,South
50,2023-09-01,media,32307.97,West
11,2024-04-01,agency_fee,7892.81,International
51,2024-03-01,martech,3926.21,East
39,2024-02-01,martech,2241.12,East
52,2024-05-01,martech,2257.44,International
40,2023-02-01,martech,3333.74,North
41,2024-09-01,martech,4998.01,West
54,2024-01-01,agency_fee,1227.66,North
45,2023-02-01,martech,1663.31,North
26,2024-10-01,media,30464.2,International
67,2024-06-01,media,9640.69,East
46,2024-06-01,agency_fee,4241.23,West
45,2024-03-01,agency_fee,9698.31,South
36,2024-11-01,media,25799.25,North
40,2024-03-01,agency_fee,7768.22,International
36,2024-10-01,martech,4465.46,International
32,2024-11-01,agency_fee,8585.96,South
18,2023-05-01,media,24835.65,East
26,2023-12-01,media,46689.57,North
2,2023-09-01,agency_fee,1824.24,West
15,2024-04-01,agency_fee,4551.85,South
23,2024-03-01,media,21493.8,International
6,2024-09-01,agency_fee,8038.8,East
6,2024-05-01,media,33949.21,North
27,2023-08-01,martech,3027.93,East
62,2024-09-01,agency_fee,9852.15,West
40,2023-07-01,media,30697.07,International
40,2024-06-01,media,49145.46,West
39,2023-11-01,agency_fee,8062.43,West
57,2023-07-01,media,39531.67,International
8,2024-02-01,agency_fee,7677.17,West
2,2023-10-01,agency_fee,8370.55,North
23,2023-12-01,agency_fee,7694.76,South
68,2023-09-01,media,4952.73,East
1,2024-07-01,martech,1988.22,North
44,2024-03-01,martech,2762.36,East
60,2024-01-01,martech,3925.95,International
49,2023-08-01,agency_fee,4993.69,South
20,2024-08-01,agency_fee,1815.82,West
63,2023-11-01,media,46649.13,North
33,2024-09-01,agency_fee,9287.58,West
40,2024-10-01,media,18375.03,International
50,2024-11-01,agency_fee,6412.88,South
14,2024-02-01,media,15482.17,North
50,2023-05-01,agency_fee,4019.82,North
20,2024-06-01,agency_fee,5637.3,North
4,2023-06-01,martech,4389.64,West
22,2023-10-01,media,44741.94,International
