nps_id,customer_id,date,score,notes,survey_channel
74,1569,2023-03-01,7.7,Plant any he able appear idea final here.,email
75,923,2023-01-08,7.6,Above your far major executive wait financial.,phone
76,1251,2023-02-14,8.4,Store cell imagine figure memory.,in_app
77,1668,2023-02-26,6.5,Along data spend despite although live data.,in_app
78,868,2023-03-03,7.4,Watch well base president why food class.,email
79,1971,2023-03-18,6.8,All hope top area compare.,email
80,1590,2023-02-27,7.4,Well during including ten.,email
81,886,2023-01-04,6.6,Laugh anyone study image leader.,email
82,736,2023-01-28,3.1,Mouth administration interesting idea nothing.,email
83,1708,2023-01-15,10.0,Brother less public.,email
84,52,2023-03-24,1.5,Every service agency one mouth.,email
85,58,2023-02-09,6.9,Until show beyond rather write line talk.,email
86,1508,2023-03-15,4.4,Else force home government.,email
87,431,2023-02-15,6.3,Quality game with add choose choice join hotel.,phone
88,813,2023-02-07,6.4,Party force who under they although front.,in_app
89,1202,2023-02-14,5.6,Only father Mr spring picture similar.,in_app
90,1335,2023-01-19,5.4,Nearly sort including floor keep north letter.,phone
91,73,2023-01-08,9.3,Consider thing agree opportunity debate.,in_app
92,1067,2023-02-12,7.2,Let instead sure effect yes or.,phone
93,1393,2023-01-30,9.1,Wife exist lawyer free another sea.,email
94,1789,2023-02-22,3.2,Expect television player understand sometimes.,email
95,378,2023-03-22,10.0,Decide write into develop quality inside skin.,email
96,607,2023-02-12,5.7,Boy argue father positive dog end indeed.,email
97,1012,2023-02-28,6.1,Involve air old try alone door cause admit.,email
98,422,2023-03-03,3.0,Improve mention ask certain.,in_app
99,733,2023-01-27,7.6,Management resource physical future.,email
100,1962,2023-02-06,6.0,Face about film center international window use.,phone
101,1021,2023-02-08,7.4,One never base take impact.,email
102,1842,2023-03-17,7.3,Consumer term man finish into imagine beyond.,in_app
103,797,2023-02-11,6.9,Rule Congress current.,in_app
104,193,2023-03-29,8.0,Ever unit thank health rise every.,email
105,56,2023-03-01,6.5,Far director seven forward.,in_app
106,740,2023-03-10,5.3,Black her simple head generation report.,in_app
107,728,2023-02-01,3.0,Sometimes rich east five.,email
108,927,2023-03-05,5.2,Attack big blood.,email
109,1947,2023-01-03,9.6,Mrs area help.,email
110,980,2023-01-08,8.7,Exist black management chance coach.,email
111,295,2023-01-03,5.8,Inside heavy difficult reality sign night nearly.,email
112,291,2023-01-29,6.2,Factor strategy one discussion drug it.,email
113,521,2023-02-20,4.8,Hotel major collection evening economy despite world take.,email
114,270,2023-01-24,7.4,Itself probably finally business.,email
115,523,2023-01-06,10.0,Card music small operation brother give.,email
116,625,2023-01-31,8.4,Fly nor song might.,in_app
117,1918,2023-01-17,7.9,Measure sing address reduce.,email
118,846,2023-01-23,6.0,Citizen whom event reality.,in_app
119,853,2023-01-20,6.2,Fish door behind region option.,email
120,17,2023-01-24,8.6,Popular right yard hold choice.,email
121,610,2023-03-11,6.9,Arrive then government.,email
122,929,2023-02-04,8.4,Whom store area form prevent on.,email
123,889,2023-01-19,9.3,Teacher wide goal blue.,in_app
124,1466,2023-03-09,8.7,For very image wrong someone local.,email
125,1434,2023-02-23,5.5,Support serve face house establish usually attorney.,email
126,1359,2023-01-02,4.8,Town floor game low stay television leader.,email
127,1277,2023-02-24,3.5,Difficult maintain become partner our market town.,email
128,1999,2023-02-28,5.0,Pattern amount hospital debate policy foot water real.,email
129,1201,2023-01-02,5.3,Eye shoulder here.,in_app
130,1838,2023-01-01,6.1,Attorney real remain girl thus.,email
131,1849,2023-02-28,9.8,Majority safe man main.,email
132,1451,2023-03-19,9.7,Feeling score old serve mouth door.,email
133,959,2023-03-05,6.2,Although action plant former.,email
134,1286,2023-02-20,4.8,Nor yes mission head onto send seat.,email
135,993,2023-02-25,5.6,Range quickly others team than citizen.,email
136,554,2023-01-28,10.0,Move western general worker audience.,phone
137,1497,2023-01-30,9.0,Site piece growth seat factor star.,email
138,141,2023-03-29,6.2,Less them movie step front career necessary fine.,in_app
139,1987,2023-01-11,6.7,Even try someone contain rest relate east.,email
140,745,2023-01-04,4.6,These detail reveal me form cut plant.,email
141,1042,2023-03-14,7.4,Democrat leave chair party player talk.,email
142,1043,2023-03-10,3.4,Suggest rock catch bar old arrive will.,email
143,1979,2023-02-03,5.0,Television or take this.,email
144,788,2023-01-26,6.3,Drug design certainly month hold vote suffer main.,email
145,882,2023-03-26,10.0,Option less management thus.,in_app
146,709,2023-01-27,6.3,Form beyond eat class style senior.,email
147,133,2023-01-11,6.6,First understand surface democratic candidate throw.,in_app
148,1340,2023-02-27,7.1,Author together study no can.,email
149,1698,2023-03-05,8.8,Wide question woman.,in_app
150,701,2023-03-10,5.6,Technology television instead Democrat successful teach machine.,email
151,641,2023-01-26,5.9,Season sit present.,email
152,1609,2023-03-20,7.7,Clearly rule three entire woman line.,in_app
153,1501,2023-02-27,6.1,Send small interview by.,email
154,680,2023-01-10,9.6,Fear government support thing it technology usually.,email
155,1603,2023-01-24,6.1,Rather whose paper far word upon.,email
156,735,2023-01-30,8.2,Situation wide authority pay paper good until.,in_app
157,1324,2023-03-18,7.7,Policy concern that born interest enjoy.,in_app
158,1135,2023-02-19,9.7,Factor method free same travel them.,email
159,1634,2023-01-21,7.2,Street read here treat.,in_app
160,49,2023-03-13,7.4,Left how letter.,email
161,1487,2023-01-20,9.3,Miss factor nearly position always western.,email
162,1391,2023-01-10,8.7,Interest true tonight.,in_app
163,1558,2023-02-11,8.2,Teacher thank generation glass black ten story.,email
164,1679,2023-03-10,7.6,Buy push newspaper husband wait.,email
165,1203,2023-03-16,5.5,Computer account prevent far suddenly family large.,email
166,1528,2023-03-21,10.0,Skill hard yet pull need main turn.,email
167,1547,2023-03-08,8.6,Painting worry administration call glass wait cut.,in_app
168,1204,2023-01-23,4.8,Gas question tend eight that near.,email
169,1728,2023-02-08,8.2,Service community necessary push cell course manager.,in_app
170,1261,2023-02-03,6.6,Science bit glass teacher.,in_app
171,1387,2023-02-11,1.4,Start sure enter event thus wide.,email
172,501,2023-02-01,8.5,Present get way forward parent.,email
173,1097,2023-02-27,5.9,Environment current key everybody start account company speech.,email
174,116,2023-03-22,5.5,Character cost start first dream financial yes.,email
175,357,2023-01-11,8.8,Add day figure necessary join little before.,email
176,1877,2023-01-02,6.2,Commercial specific PM enough.,phone
177,1321,2023-03-11,7.1,Here open fear yeah data let.,in_app
178,620,2023-01-05,1.9,Fill move toward.,email
179,277,2023-01-29,3.2,First pressure although often open almost race.,in_app
180,1170,2023-01-23,7.5,List can strategy office summer.,in_app
181,803,2023-02-23,6.0,Hotel Republican really during blue east herself.,in_app
182,234,2023-01-03,8.9,Break stage kid must respond.,email
183,1525,2023-02-19,3.2,Ahead hold child another world modern move business.,in_app
184,687,2023-02-24,6.8,Although must music just dream interesting likely.,in_app
185,1406,2023-01-18,6.3,Imagine fish worker phone money example.,in_app
186,1988,2023-02-27,3.8,Answer rule rule north.,in_app
187,996,2023-02-04,6.7,Raise executive our call.,in_app
188,910,2023-03-16,7.5,Space central dinner throw.,email
189,1000,2023-01-31,3.5,Inside color ground school during similar now.,email
190,1995,2023-02-23,6.9,Poor which government choice speech these purpose doctor.,email
191,1071,2023-03-20,10.0,Must meeting so here high respond sure.,phone
192,1695,2023-01-29,6.9,Wind pass modern send conference.,email
193,809,2023-02-23,6.2,Eat receive campaign hot southern account.,email
194,313,2023-02-22,6.6,Week huge hundred government news.,email
195,387,2023-03-19,9.0,Likely vote American yard.,in_app
196,519,2023-01-09,2.5,Of such will in.,in_app
197,109,2023-01-30,6.7,Unit lay account read.,in_app
198,1158,2023-02-08,10.0,Open test special glass.,email
199,990,2023-02-01,8.1,Establish plan perform.,email
200,471,2023-03-03,7.7,Nice half describe kid rate.,email
201,1355,2023-02-10,8.5,Available gas establish summer answer money.,email
202,1454,2023-01-20,8.3,Especially since whole front.,email
203,1385,2023-01-03,8.9,Per will couple after lead.,in_app
204,54,2023-02-02,4.6,Still girl instead owner.,email
205,586,2023-02-14,8.0,Campaign look rather will.,email
206,773,2023-01-15,9.5,Policy natural tonight tend structure.,in_app
207,71,2023-02-01,10.0,Season against line certainly.,email
208,1494,2023-01-11,9.7,Only himself fast man.,email
209,104,2023-01-06,8.5,Perhaps clear now fire dream thing.,email
210,145,2023-01-29,6.3,Commercial executive create game though red family.,email
211,1193,2023-02-03,8.3,Explain consumer most executive through.,in_app
212,1638,2023-01-25,7.5,Occur edge doctor.,email
213,681,2023-03-30,6.6,She night force suggest choice.,email
214,1159,2023-01-29,3.6,Herself institution home plan.,email
215,74,2023-01-07,6.4,Nation human beat lose world spend whether enjoy.,email
216,1536,2023-02-20,5.9,Democrat realize able civil training finally.,email
217,377,2023-03-25,7.6,Stay your source once offer daughter.,in_app
218,1813,2023-02-19,4.1,Center position movie paper travel her difference.,email
219,1829,2023-03-16,8.5,Before positive field student push report nice pattern.,email
220,924,2023-02-27,7.2,Name evidence skin large focus relate decision.,in_app
221,201,2023-02-12,7.0,Visit else ever conference nearly throw.,email
222,1663,2023-02-10,4.1,Light century effort approach toward word.,email
223,976,2023-02-14,7.2,Change last political particular eye thank.,email
224,757,2023-03-14,5.2,Political although concern nothing.,email
225,577,2023-03-05,9.7,Black available staff book coach.,email
226,1894,2023-01-13,7.2,Sport quality no than.,email
227,206,2023-03-23,4.8,Town amount couple mouth.,email
228,187,2023-03-14,8.2,Your peace floor dinner matter.,in_app
229,1624,2023-02-16,6.1,Arrive life official positive husband.,in_app
230,1446,2023-03-01,10.0,Right federal evidence mother.,in_app
231,1256,2023-02-16,4.9,Human number why measure world read.,email
232,1002,2023-01-11,6.6,Firm air catch single.,in_app
233,1788,2023-02-11,8.4,Among son modern factor.,email
234,429,2023-01-12,8.4,Day purpose now high reduce early campaign.,email
235,414,2023-01-29,3.7,Finally read tough town loss prove.,in_app
236,1073,2023-03-01,6.8,Military as adult carry.,email
237,953,2023-02-20,8.0,Stock lot be themselves area provide.,email
238,99,2023-02-07,6.4,Instead tree ten current.,in_app
239,1584,2023-01-30,5.9,Heavy film trip.,email
240,713,2023-01-05,6.5,Very visit scene see court.,email
241,267,2023-02-23,8.0,Treat first figure his fast everyone.,email
242,1545,2023-01-19,5.5,Nature agree their drive.,email
243,744,2023-02-22,8.9,Dream yourself personal heart agreement.,in_app
244,812,2023-01-29,6.3,Itself step that west.,email
245,126,2023-01-12,3.7,Front old step fish.,email
246,1928,2023-02-20,7.7,Senior benefit serve party throughout somebody authority effect.,email
247,920,2023-01-04,7.0,Democratic police this own material.,phone
248,950,2023-03-12,7.5,That system popular his process suggest change.,email
249,1,2023-01-26,7.3,Themselves nature common call.,email
250,930,2023-03-29,9.8,Purpose provide spend.,email
251,1351,2023-01-16,4.9,Effect visit house indeed story activity worry.,email
252,1993,2023-02-14,8.1,Movie eat whose large alone shoulder.,in_app
253,1389,2023-01-19,7.7,Edge your take news.,phone
254,149,2023-03-02,6.5,Peace believe down late from pull.,email
255,1675,2023-03-27,8.0,Cost help idea rock.,email
256,1186,2023-01-02,7.5,Paper help both this fall whatever shake.,email
257,1003,2023-03-09,8.2,Life take garden break culture agency.,email
258,254,2023-01-03,7.5,Letter week toward.,email
259,1927,2023-03-10,7.9,Tv middle study head.,email
260,1812,2023-02-15,5.1,Pull him choose boy.,in_app
261,407,2023-01-22,5.2,Message form college may commercial push they agree.,in_app
262,1854,2023-02-28,8.4,Particularly born public small experience too might.,in_app
263,1766,2023-01-14,4.3,Affect process join bar.,in_app
264,1750,2023-02-01,5.8,Career natural data show really strategy left.,in_app
265,1375,2023-03-09,3.7,Subject single hundred notice agent.,in_app
266,223,2023-03-13,6.5,Knowledge fire over Republican.,email
267,1378,2023-02-03,7.1,Future pick cold.,email
268,615,2023-03-25,7.7,Available important knowledge price defense democratic need.,email
269,513,2023-03-18,10.0,Child everyone stay easy rather.,in_app
270,1860,2023-03-09,8.0,Common former significant.,email
271,514,2023-03-04,7.1,Kitchen party call me wind what.,email
272,1273,2023-03-21,9.7,Know star military section.,email
273,1408,2023-01-01,6.4,Stand room speech plan edge future against.,email
274,476,2023-01-30,7.6,Woman follow south feeling must late east.,in_app
275,1207,2023-03-06,8.5,Sound entire end hot room smile family.,phone
276,284,2023-03-09,9.6,May prevent culture road story.,email
277,1162,2023-02-15,3.9,On until run market.,email
278,998,2023-03-12,8.8,Rise candidate expect top fact enjoy.,phone
279,1161,2023-03-13,7.2,Behind somebody red style face increase.,phone
280,230,2023-01-28,8.4,What why painting wish.,email
281,1910,2023-01-23,6.2,Way particular else show give.,email
282,945,2023-02-02,7.2,Worker ten future huge place.,phone
283,562,2023-01-04,7.8,Especially wrong staff new onto treat phone tough.,in_app
284,1691,2023-03-16,4.3,If miss strong this field why.,in_app
285,1861,2023-02-14,7.9,Executive try east surface skin low.,email
286,110,2023-02-19,8.7,Small friend firm agency space list these.,in_app
287,1582,2023-02-28,8.1,Recent level magazine decision.,email
288,1834,2023-02-25,7.0,Question first current.,email
289,755,2023-01-14,5.4,Big political stage purpose manager history.,email
290,836,2023-01-31,8.7,Design forget officer authority information mission.,in_app
291,550,2023-03-04,3.8,Letter good meeting other owner.,email
292,911,2023-03-14,10.0,Them create administration list want group be.,email
293,1903,2023-03-02,5.5,Land firm compare let.,in_app
294,909,2023-02-08,5.9,Note information section again send he.,email
295,1606,2023-03-19,7.6,Man suffer performance option participant item new.,in_app
296,1892,2023-02-16,4.1,Somebody including effect morning candidate whether.,in_app
297,1114,2023-03-18,4.8,Significant show meet once.,email
298,792,2023-01-10,4.9,Organization suffer lot.,email
299,1781,2023-03-12,5.8,Herself or start catch talk audience nature.,email
300,892,2023-01-24,7.2,People look important same.,in_app
301,1023,2023-03-21,8.9,Hair like trial money popular number.,email
302,1362,2023-03-24,2.4,Himself use most.,in_app
303,756,2023-01-05,8.9,Create upon where ready something movie environmental.,email
304,1681,2023-01-08,7.7,Leave industry pick.,email
305,166,2023-03-28,3.8,Fire help organization reality record.,email
306,1195,2023-01-23,10.0,Step region media common Mr.,in_app
307,348,2023-01-09,5.9,Where class door decision role.,email
308,1402,2023-03-06,8.5,Change later consumer term pressure face federal.,email
309,1069,2023-02-02,7.3,Close concern next customer join upon.,in_app
310,170,2023-03-10,7.9,Much threat president arm give part.,email
311,730,2023-01-18,7.9,Property military type choice.,email
312,1774,2023-01-17,8.7,Way beautiful growth door fear experience.,email
313,1819,2023-03-03,8.7,Necessary visit father however relate sell during suddenly.,in_app
314,700,2023-01-01,5.6,Standard meeting single save play international.,phone
315,1034,2023-03-21,3.0,Yard before go and draw something.,email
316,1522,2023-01-30,7.2,Surface cover strategy hot.,phone
317,1830,2023-01-28,10.0,Student toward even physical eight since individual soon.,phone
318,1763,2023-02-28,8.7,Subject guess better whole.,email
319,535,2023-03-24,5.2,Significant prove understand.,email
320,746,2023-01-12,6.4,Few use perform whether report.,in_app
321,1199,2023-02-27,9.7,Even strategy walk evidence price foot task benefit.,email
322,1262,2023-02-08,6.4,Leg maybe commercial for factor chance report.,email
323,1848,2023-02-06,10.0,Value unit call chance.,email
324,417,2023-03-21,10.0,Everybody young lead TV role these cell.,email
325,1332,2023-02-28,3.5,Gun make now five them show.,in_app
326,225,2023-02-04,9.7,Make scientist avoid develop white well catch.,in_app
327,1503,2023-03-06,6.9,Student home main when.,in_app
328,1823,2023-03-12,10.0,Suggest western high statement.,email
329,963,2023-03-05,6.0,Environment dog age remain.,email
330,908,2023-02-10,5.8,Wide beyond win something.,email
331,1093,2023-03-09,6.9,General themselves over summer debate miss why.,email
332,1077,2023-03-17,3.8,Participant present month all attention.,email
333,1762,2023-02-28,9.0,Accept investment page still great.,email
334,297,2023-03-27,3.4,Power once letter others grow coach.,email
335,1912,2023-01-03,6.6,May company or organization lead I space late.,in_app
336,944,2023-03-27,8.0,Safe discover role.,email
337,642,2023-03-29,8.1,Allow board those simply step hair together teacher.,email
338,1075,2023-01-04,6.5,Course look natural difference.,email
339,831,2023-03-10,4.4,Morning fund environmental test service mean cultural.,email
340,457,2023-02-03,10.0,Stuff protect authority.,email
341,273,2023-03-13,5.6,And work serve attorney face.,email
342,1313,2023-03-20,9.3,Trouble question amount not tonight put.,email
343,1576,2023-01-28,8.9,Himself prepare whose skin teach.,email
344,16,2023-02-28,7.0,Friend development town section specific nice.,email
345,1048,2023-01-09,3.0,Hard increase increase center often move.,email
346,231,2023-02-11,8.8,Try offer forget crime message break.,email
347,479,2023-02-19,6.2,Table computer character cultural many nation.,email
348,1580,2023-01-22,8.3,People during always course.,email
349,1990,2023-02-23,6.7,Now knowledge body choose road.,email
350,1113,2023-02-18,5.6,Decide help democratic keep.,email
351,1554,2023-03-21,6.9,Admit gas these water them.,in_app
352,1885,2023-02-02,8.1,Clearly high mind social manager one.,email
353,1954,2023-02-26,10.0,Box war these arm himself always usually.,email
354,999,2023-01-23,7.0,Resource civil including fast detail wonder into.,email
355,775,2023-01-30,2.7,Later box myself contain hard.,in_app
356,317,2023-01-28,5.7,Type cold serious share leave animal where.,email
357,1970,2023-01-01,4.1,Kitchen early list job run make fish.,email
358,1908,2023-03-30,7.5,Someone general coach others show.,in_app
359,939,2023-01-19,10.0,Left next field term this or.,in_app
360,83,2023-03-21,6.3,Time community beautiful want describe.,phone
361,247,2023-02-20,10.0,Such focus one accept life attention here cell.,email
362,404,2023-02-22,4.0,Role relate environment close.,email
363,874,2023-01-19,4.0,Far fact show these close court move.,phone
364,1669,2023-01-09,6.4,Election development study door mind.,email
365,1773,2023-01-06,7.6,Industry strong subject down behavior think soon.,email
366,731,2023-02-01,5.1,Politics produce describe green.,email
367,1592,2023-01-05,3.8,Never back drive skin middle.,email
368,1934,2023-01-08,3.7,Specific interest base professor too change.,email
369,1671,2023-03-16,6.4,Laugh recent too political seat page best including.,in_app
370,977,2023-03-30,6.8,Main easy time goal way.,email
371,1297,2023-03-22,9.5,Cultural view interesting purpose eat economic.,email
372,364,2023-03-14,9.7,Fish audience rise black magazine heart.,email
373,1697,2023-01-11,3.4,Such nearly perhaps.,email
374,1423,2023-02-01,3.6,Analysis nice machine matter.,in_app
375,695,2023-03-21,4.4,Likely issue state unit best technology rule if.,email
376,1668,2023-06-28,8.3,Heavy still great idea above per.,email
377,1476,2023-06-27,10.0,Movement simply quickly much month clearly.,phone
378,1004,2023-05-24,5.6,Draw like four ever space.,email
379,841,2023-06-04,9.3,Investment hard later.,email
380,1367,2023-06-20,7.4,Most Democrat prepare employee it result success if.,email
381,1361,2023-04-25,8.3,Play role choose situation.,email
382,1048,2023-05-23,7.4,Film nearly discussion indeed guy happen.,email
383,179,2023-06-09,9.5,Buy something bill any rather pretty would.,phone
384,1316,2023-06-19,7.2,Analysis address usually economy camera ago consumer.,email
385,737,2023-05-11,7.8,Certainly speak lawyer when turn our onto.,email
386,1942,2023-04-01,9.7,Decision itself hope.,in_app
387,1511,2023-04-29,5.5,Truth big maybe cover democratic.,email
388,611,2023-06-19,6.6,Attorney long interest south.,in_app
389,1227,2023-05-19,6.5,Consider lot something none great former.,email
390,883,2023-06-25,6.7,Reflect marriage up far.,in_app
391,1186,2023-05-27,6.6,Plant receive president moment.,email
392,238,2023-05-02,8.3,Level edge case surface alone matter.,email
393,543,2023-05-12,8.8,Something vote support main reflect knowledge.,email
394,1155,2023-04-22,5.9,Speech boy different buy relationship hotel animal.,email
395,260,2023-04-20,10.0,Prove begin all he firm color.,email
396,1051,2023-04-04,4.5,Rock over month center continue until tough.,email
397,1019,2023-06-07,6.0,Onto me thousand fact green black series parent.,email
398,655,2023-05-13,10.0,Develop within behavior purpose ok.,in_app
399,627,2023-05-07,7.2,Rich nor family drive yes fly.,in_app
400,1080,2023-06-02,4.2,Beautiful cost mother although region girl east building.,email
401,1844,2023-04-11,5.2,Teach face resource operation country nearly.,email
402,854,2023-06-07,4.3,He whatever despite.,email
403,923,2023-06-06,10.0,Detail direction seem year.,in_app
404,1836,2023-05-08,6.6,Difficult mission his somebody school painting conference organization.,email
405,1061,2023-04-16,5.4,Character staff wear know city cut scene question.,email
406,1300,2023-05-06,8.5,Ago difficult politics situation result.,email
407,325,2023-06-12,10.0,Remain population note likely instead.,email
408,955,2023-04-13,9.1,Pass face want section.,in_app
409,436,2023-04-05,6.6,Occur stuff evidence with fine.,email
410,1767,2023-05-26,8.4,Along hope necessary mouth within.,in_app
411,83,2023-06-01,9.0,Accept yes suffer again manage.,email
412,1998,2023-04-18,9.1,Sea reduce leg leave lead our memory.,in_app
413,1120,2023-05-22,9.1,Air hour power church son family.,email
414,703,2023-05-10,5.3,Program exist research have cover almost score.,email
415,1058,2023-04-22,7.0,Onto floor turn.,email
416,1341,2023-04-10,1.7,Task admit apply board.,email
417,1188,2023-05-27,6.1,Expect customer stuff citizen stand read because.,email
418,1123,2023-06-11,5.5,Political write kid will country right meet.,email
419,435,2023-05-06,7.2,Toward only range identify.,email
420,940,2023-05-31,6.7,Event discussion situation ahead enough with.,in_app
421,97,2023-04-25,9.0,Apply house win three record.,email
422,1366,2023-06-17,6.1,Hand note animal ahead stock great and TV.,in_app
423,1754,2023-05-07,10.0,Person no vote national if.,email
424,600,2023-04-05,7.8,Space six shoulder.,email
425,929,2023-06-21,2.7,Share sister although agency.,in_app
426,1157,2023-05-11,2.8,Sing blood star week.,email
427,1483,2023-06-22,9.4,Accept public speech find.,in_app
428,1937,2023-06-24,6.4,Challenge speech world note goal beyond board space.,email
429,1736,2023-04-21,10.0,Expert television eye ball.,phone
430,1083,2023-06-22,6.7,Feel wind group and long especially.,in_app
431,316,2023-05-22,6.9,Marriage skin might attack.,email
432,237,2023-05-14,7.0,Maintain fast cover year question.,email
433,1966,2023-04-23,5.6,Expect may similar senior bed.,email
434,1276,2023-05-23,6.9,Specific not about any.,email
435,517,2023-05-09,7.5,Wait learn fill agree card wrong glass industry.,email
436,143,2023-05-12,6.1,Prove property scene move past.,email
437,1231,2023-05-05,8.4,Stock story none.,in_app
438,55,2023-04-20,6.8,Stay them still accept break choice.,email
439,1410,2023-04-02,7.7,Suffer fund wrong head stage person left.,email
440,838,2023-04-20,9.4,Rise mouth shake song important mission respond.,email
441,1243,2023-06-16,6.1,Pm level purpose join hand.,email
442,1455,2023-05-22,9.0,Determine yeah current step.,email
443,487,2023-04-25,8.5,Market including among center once condition.,email
444,1464,2023-06-14,10.0,Investment avoid their along build wind.,phone
445,1354,2023-05-10,7.1,Affect think TV still person step type lose.,email
446,1439,2023-05-02,7.9,Today increase foreign prove between charge law.,email
447,699,2023-06-28,9.4,Everybody class smile current feel.,email
448,1885,2023-04-19,5.3,Their point never become.,email
449,645,2023-06-02,6.9,Management join that job rule energy others.,email
450,439,2023-06-18,10.0,Speak financial skill happy garden.,email
451,670,2023-04-30,9.8,Price manage stand employee try air.,email
452,915,2023-04-10,8.7,Miss coach put figure rule.,in_app
453,1053,2023-04-01,9.1,Mean arm believe anyone prove debate.,email
454,713,2023-06-19,6.0,Eat down trip near.,email
455,1228,2023-04-14,6.0,Big of sort material computer choice measure.,email
456,528,2023-04-14,7.5,Wonder Democrat leader those civil customer.,email
457,1389,2023-04-25,4.7,Or than eye matter pay.,email
458,1829,2023-05-02,10.0,Night ahead early defense entire.,phone
459,441,2023-05-17,9.3,Involve seven western grow short.,email
460,658,2023-05-14,3.5,Scene early past the seat.,email
461,560,2023-05-23,5.7,Report fund front myself view candidate approach technology.,email
462,662,2023-04-29,9.0,Easy like drive western whole.,in_app
