account_id,account_name,domain,segment,industry,region,created_date,owner_id,lifecycle_stage,last_activity_at,is_customer,is_churned
823,Moore Inc,mooreinc.com,SMB,Healthcare,West,2024-06-26,39,lead,,False,False
3730,"Booker, Maxwell and Jackson",bookermaxwellandjackson.com,SMB,Education,North,2023-08-28,5,lead,,False,False
2855,Fisher-Moran,fisher-moran.com,SMB,Retail,North,2023-09-03,8,lead,,False,False
2348,"Duran, Clayton and Wiggins",duranclaytonandwiggins.com,SMB,FinTech,International,2024-07-04,45,lead,,False,False
1240,Taylor-Cochran,taylor-cochran.com,Mid-Market,FinTech,South,2023-11-06,20,lead,,False,False
3857,Johnson Group,johnsongroup.com,SMB,FinTech,East,2024-11-28,29,lead,,False,False
346,"Chavez, Robinson and Hale",chavezrobinsonandhale.com,SMB,Retail,East,2024-05-08,21,lead,,False,False
1231,"Smith, Griffin and Wilson",smithgriffinandwilson.com,SMB,Education,South,2024-01-29,14,lead,,False,False
3431,Lowe PLC,loweplc.com,SMB,Healthcare,North,2024-08-25,9,lead,,False,False
357,"Tran, Schneider and Hayden",transchneiderandhayden.com,SMB,Healthcare,East,2024-01-19,29,lead,,False,False
3542,"Weber, Davis and Garcia",weberdavisandgarcia.com,SMB,Healthcare,North,2024-12-13,29,lead,,False,False
432,"Klein, Hardy and Evans",kleinhardyandevans.com,SMB,Retail,South,2023-09-26,5,lead,,False,False
309,"Colon, Hartman and Wood",colonhartmanandwood.com,SMB,Healthcare,South,2024-04-15,17,lead,,False,False
3569,Gordon LLC,gordonllc.com,Mid-Market,Retail,South,2023-05-28,16,lead,,False,False
1876,Miller-Stewart,miller-stewart.com,Mid-Market,Retail,North,2023-06-06,7,lead,,False,False
1001,Conner-Soto,conner-soto.com,SMB,Education,South,2023-02-26,16,lead,,False,False
436,Chan-Simmons,chan-simmons.com,SMB,Education,South,2022-09-22,19,lead,,False,False
3842,"Horne, Robbins and Becker",hornerobbinsandbecker.com,Mid-Market,FinTech,North,2025-06-27,17,lead,,False,False
2132,"Harvey, Haney and Wilkinson",harveyhaneyandwilkinson.com,Mid-Market,FinTech,North,2023-01-02,38,lead,,False,False
420,Palmer Ltd,palmerltd.com,SMB,FinTech,South,2025-02-21,13,lead,,False,False
2926,"Blanchard, Garcia and Bennett",blanchardgarciaandbennett.com,SMB,FinTech,West,2025-06-13,36,lead,,False,False
3003,White LLC,whitellc.com,SMB,Retail,North,2022-12-21,1,lead,,False,False
3232,"Hansen, Richardson and Barr",hansenrichardsonandbarr.com,SMB,FinTech,West,2023-07-18,40,lead,,False,False
2866,"Gardner, Benson and Buchanan",gardnerbensonandbuchanan.com,SMB,Education,South,2023-01-24,13,lead,,False,False
1785,White-Adams,white-adams.com,SMB,FinTech,West,2023-12-14,35,lead,,False,False
719,Tanner LLC,tannerllc.com,Mid-Market,Healthcare,West,2025-05-01,39,lead,,False,False
1146,Reynolds-Richardson,reynolds-richardson.com,Mid-Market,Education,South,2024-08-17,11,lead,,False,False
3610,Wells LLC,wellsllc.com,Mid-Market,Healthcare,International,2025-03-17,43,lead,,False,False
2656,Reese Group,reesegroup.com,SMB,FinTech,North,2023-12-01,9,lead,,False,False
1959,"Griffith, Woods and Brown",griffithwoodsandbrown.com,SMB,FinTech,North,2022-11-25,6,lead,,False,False
2633,"Swanson, Hebert and Johnson",swansonhebertandjohnson.com,SMB,Retail,West,2025-05-10,37,lead,,False,False
1980,Williams LLC,williamsllc.com,Mid-Market,Healthcare,North,2024-08-15,2,lead,,False,False
4000,"Crawford, Foley and Ortiz",crawfordfoleyandortiz.com,Mid-Market,Education,West,2024-02-03,40,lead,,False,False
1484,"Henderson, Allen and Herrera",hendersonallenandherrera.com,SMB,Education,West,2022-10-03,40,lead,,False,False
3130,Gray-West,gray-west.com,SMB,Education,North,2022-11-24,5,lead,,False,False
3317,"Williams, Ferrell and Taylor",williamsferrellandtaylor.com,SMB,Retail,East,2023-01-11,27,lead,,False,False
230,Torres-Taylor,torres-taylor.com,SMB,Retail,North,2024-03-13,4,lead,,False,False
1590,"Foley, Clarke and Morgan",foleyclarkeandmorgan.com,SMB,Healthcare,East,2022-12-20,29,lead,,False,False
3554,Johnson-Schroeder,johnson-schroeder.com,SMB,Healthcare,South,2023-11-21,36,lead,,False,False
2230,Ward LLC,wardllc.com,SMB,Healthcare,West,2024-12-24,32,lead,,False,False
2507,Jackson PLC,jacksonplc.com,Mid-Market,FinTech,South,2023-10-12,20,lead,,False,False
3799,Floyd-Ellison,floyd-ellison.com,SMB,Healthcare,North,2025-06-10,9,lead,,False,False
161,Peterson and Sons,petersonandsons.com,SMB,Education,East,2022-08-09,21,lead,,False,False
456,Smith-Ward,smith-ward.com,SMB,FinTech,South,2023-04-23,18,lead,,False,False
2606,"Ellis, House and Stephens",ellishouseandstephens.com,SMB,Retail,North,2024-05-21,2,lead,,False,False
2407,"Jackson, Crawford and Johnson",jacksoncrawfordandjohnson.com,SMB,Healthcare,West,2023-03-02,37,lead,,False,False
2080,Williamson and Sons,williamsonandsons.com,SMB,Retail,North,2023-05-14,11,lead,,False,False
1387,Turner-Smith,turner-smith.com,SMB,Healthcare,East,2023-06-15,29,lead,,False,False
494,"Ross, Carroll and Johnson",rosscarrollandjohnson.com,Enterprise,Education,South,2023-01-24,10,lead,,False,False
1415,Becker-Wood,becker-wood.com,Mid-Market,Education,North,2024-02-06,1,lead,,False,False
2375,"Harrison, Jennings and Lewis",harrisonjenningsandlewis.com,Enterprise,Education,South,2023-12-25,20,lead,,False,False
233,Lin-Francis,lin-francis.com,SMB,Retail,North,2022-11-03,10,lead,,False,False
3602,Gray-Brooks,gray-brooks.com,SMB,FinTech,East,2023-03-22,27,lead,,False,False
1835,Stewart-Shepherd,stewart-shepherd.com,Mid-Market,Education,West,2024-02-22,49,lead,,False,False
89,Brady Ltd,bradyltd.com,Mid-Market,Healthcare,International,2023-06-02,48,lead,,False,False
1609,Bates Inc,batesinc.com,SMB,Retail,East,2023-01-14,29,lead,,False,False
1346,"Clark, Campbell and Hardy",clarkcampbellandhardy.com,SMB,Retail,East,2025-01-20,24,lead,,False,False
1724,White and Sons,whiteandsons.com,SMB,FinTech,West,2022-12-24,35,lead,,False,False
2329,Palmer Ltd,palmerltd.com,Mid-Market,Retail,South,2022-12-09,18,lead,,False,False
3322,"Young, Smith and Sutton",youngsmithandsutton.com,SMB,Education,International,2022-08-28,48,lead,,False,False
3957,Waters LLC,watersllc.com,Mid-Market,Retail,International,2022-12-22,47,lead,,False,False
822,Carey Inc,careyinc.com,SMB,Retail,South,2023-01-14,12,lead,,False,False
1355,Kirk-Cain,kirk-cain.com,Mid-Market,Retail,North,2024-06-05,4,lead,,False,False
2446,"Richardson, Anderson and Harris",richardsonandersonandharris.com,SMB,Healthcare,North,2022-09-19,8,lead,,False,False
449,"Wright, Parks and Flores",wrightparksandflores.com,SMB,FinTech,South,2024-09-01,11,lead,,False,False
1646,Garcia and Sons,garciaandsons.com,SMB,FinTech,North,2025-02-02,3,lead,,False,False
3142,Casey Ltd,caseyltd.com,SMB,Education,International,2025-02-15,48,lead,,False,False
2125,Smith Inc,smithinc.com,SMB,Healthcare,North,2023-07-08,9,lead,,False,False
232,"Knight, Hall and Klein",knighthallandklein.com,SMB,FinTech,South,2025-07-15,10,lead,,False,False
2519,Berger LLC,bergerllc.com,Mid-Market,Healthcare,West,2025-02-13,31,lead,,False,False
3935,Davenport and Sons,davenportandsons.com,SMB,Healthcare,West,2025-05-24,40,lead,,False,False
2750,Gonzales and Sons,gonzalesandsons.com,SMB,Retail,East,2024-08-22,30,lead,,False,False
173,Waller-Campbell,waller-campbell.com,SMB,Education,West,2024-06-23,37,lead,,False,False
263,Dunlap-Keller,dunlap-keller.com,SMB,Education,North,2023-06-18,3,lead,,False,False
3391,Rojas Group,rojasgroup.com,SMB,FinTech,South,2024-02-26,12,lead,,False,False
1485,Rodriguez PLC,rodriguezplc.com,Mid-Market,FinTech,South,2024-05-16,13,lead,,False,False
2463,Padilla Inc,padillainc.com,SMB,FinTech,West,2023-05-21,33,lead,,False,False
1942,"Fuller, Greene and Douglas",fullergreeneanddouglas.com,SMB,Healthcare,West,2023-08-21,32,lead,,False,False
2661,Gaines PLC,gainesplc.com,SMB,Healthcare,East,2022-09-24,26,lead,,False,False
503,"Shepard, Cannon and Peters",shepardcannonandpeters.com,Mid-Market,Education,International,2023-04-12,44,lead,,False,False
1547,Murphy Inc,murphyinc.com,SMB,FinTech,International,2024-05-04,44,lead,,False,False
3523,Simmons Ltd,simmonsltd.com,SMB,Retail,South,2023-11-01,15,lead,,False,False
1621,Webb Inc,webbinc.com,SMB,Healthcare,International,2025-03-30,43,lead,,False,False
2739,Mason-Ruiz,mason-ruiz.com,SMB,Healthcare,West,2024-12-13,38,lead,,False,False
683,Harper Ltd,harperltd.com,Mid-Market,Healthcare,East,2023-12-20,30,lead,,False,False
882,Lamb PLC,lambplc.com,SMB,FinTech,West,2022-10-23,50,lead,,False,False
1255,"Smith, Thompson and Maxwell",smiththompsonandmaxwell.com,SMB,Healthcare,South,2022-12-14,17,lead,,False,False
3407,Shields Ltd,shieldsltd.com,Mid-Market,Education,West,2024-04-03,38,lead,,False,False
588,Coleman-Fuentes,coleman-fuentes.com,SMB,Healthcare,South,2025-03-08,45,lead,,False,False
2825,Garcia and Sons,garciaandsons.com,SMB,Retail,North,2025-02-16,49,lead,,False,False
700,Galvan Inc,galvaninc.com,Enterprise,Education,East,2024-11-19,22,lead,,False,False
209,"Burns, Chang and Carter",burnschangandcarter.com,Mid-Market,FinTech,North,2022-09-09,3,lead,,False,False
378,Nelson-Charles,nelson-charles.com,SMB,Healthcare,South,2022-10-01,18,lead,,False,False
964,Marshall-Welch,marshall-welch.com,SMB,Retail,West,2025-06-16,40,lead,,False,False
1233,Ramsey Group,ramseygroup.com,SMB,Education,East,2023-11-25,29,lead,,False,False
2889,"Alexander, Vasquez and Carter",alexandervasquezandcarter.com,Mid-Market,Retail,North,2024-12-01,6,lead,,False,False
2536,"Cunningham, Sparks and May",cunninghamsparksandmay.com,Mid-Market,Education,South,2023-05-04,17,lead,,False,False
1909,Strickland-Peterson,strickland-peterson.com,SMB,Healthcare,International,2025-02-01,46,lead,,False,False
3019,"Pham, Garcia and Parks",phamgarciaandparks.com,Mid-Market,Retail,East,2023-07-28,21,lead,,False,False
1741,"Klein, Anderson and Moreno",kleinandersonandmoreno.com,SMB,Healthcare,West,2024-12-25,32,lead,,False,False
2811,"Daugherty, Anderson and Thomas",daughertyandersonandthomas.com,SMB,Retail,North,2024-02-24,3,lead,,False,False
1067,Roberts Ltd,robertsltd.com,Mid-Market,Retail,North,2025-03-05,7,lead,,False,False
2074,Dorsey LLC,dorseyllc.com,Mid-Market,Retail,West,2023-02-12,37,lead,,False,False
1238,Miller and Sons,millerandsons.com,SMB,Healthcare,South,2024-04-25,11,lead,,False,False
207,Fisher-Bennett,fisher-bennett.com,Mid-Market,Healthcare,South,2023-07-04,47,lead,,False,False
75,Herrera-Jacobs,herrera-jacobs.com,Mid-Market,Healthcare,East,2024-05-05,21,lead,,False,False
1641,Martinez Inc,martinezinc.com,Mid-Market,FinTech,West,2024-02-01,7,lead,,False,False
2928,"Arellano, Myers and Miller",arellanomyersandmiller.com,SMB,Retail,West,2022-12-04,39,lead,,False,False
941,Brooks Ltd,brooksltd.com,SMB,FinTech,North,2023-11-05,5,lead,,False,False
302,Smith Ltd,smithltd.com,SMB,FinTech,East,2022-11-30,30,lead,,False,False
3830,Sexton and Sons,sextonandsons.com,SMB,Education,North,2023-10-02,1,lead,,False,False
1312,Fox Inc,foxinc.com,SMB,Retail,North,2023-09-15,19,lead,,False,False
1543,"Walls, Wilson and Cox",wallswilsonandcox.com,SMB,Retail,South,2023-02-26,12,lead,,False,False
183,Jackson Inc,jacksoninc.com,SMB,FinTech,East,2022-08-14,11,lead,,False,False
3230,Lopez LLC,lopezllc.com,Mid-Market,Healthcare,East,2023-09-09,27,lead,,False,False
403,Baker-Meyer,baker-meyer.com,SMB,Retail,East,2023-06-16,24,lead,,False,False
541,Dixon PLC,dixonplc.com,SMB,Healthcare,East,2022-12-05,26,lead,,False,False
2704,Carter-Mcgee,carter-mcgee.com,Mid-Market,Retail,West,2024-05-30,36,lead,,False,False
3642,"Mccarthy, Norton and Turner",mccarthynortonandturner.com,SMB,Healthcare,International,2023-09-07,5,lead,,False,False
1405,Glenn Ltd,glennltd.com,SMB,Education,North,2023-01-25,40,lead,,False,False
1462,"Newton, Cole and Bowers",newtoncoleandbowers.com,Mid-Market,Education,West,2024-12-30,12,lead,,False,False
1389,Wilson-Mcintyre,wilson-mcintyre.com,SMB,Education,International,2025-05-02,47,lead,,False,False
3136,Herrera-Espinoza,herrera-espinoza.com,SMB,Education,East,2023-10-06,22,lead,,False,False
3740,Brown PLC,brownplc.com,SMB,Healthcare,West,2023-04-05,17,lead,,False,False
2198,Smith-Mueller,smith-mueller.com,SMB,Education,West,2024-03-27,34,lead,,False,False
690,Lewis PLC,lewisplc.com,Mid-Market,Education,North,2024-06-20,6,lead,,False,False
3540,Miller and Sons,millerandsons.com,SMB,Education,North,2024-02-06,6,lead,,False,False
170,Aguilar LLC,aguilarllc.com,Mid-Market,FinTech,East,2023-06-05,22,lead,,False,False
3276,Castillo-Morris,castillo-morris.com,SMB,Retail,South,2024-06-17,12,lead,,False,False
2558,Bond-Martinez,bond-martinez.com,SMB,Healthcare,East,2023-06-24,22,lead,,False,False
495,Williams-Rivera,williams-rivera.com,SMB,FinTech,East,2023-01-15,25,lead,,False,False
2035,Koch and Sons,kochandsons.com,Mid-Market,Education,International,2023-02-04,49,lead,,False,False
395,"Reed, Roberts and White",reedrobertsandwhite.com,SMB,Education,International,2024-10-20,19,lead,,False,False
3535,Delgado-Mcbride,delgado-mcbride.com,SMB,Healthcare,East,2024-04-07,22,lead,,False,False
539,"Fox, Lee and Sutton",foxleeandsutton.com,SMB,Education,East,2024-02-16,10,lead,,False,False
2090,Wilson PLC,wilsonplc.com,SMB,Education,North,2025-06-19,5,lead,,False,False
2544,Webb Ltd,webbltd.com,SMB,FinTech,International,2023-01-26,42,lead,,False,False
2475,Bradshaw-Macdonald,bradshaw-macdonald.com,SMB,FinTech,West,2023-08-16,38,lead,,False,False
3912,"Townsend, James and Fleming",townsendjamesandfleming.com,SMB,Healthcare,West,2025-06-22,38,lead,,False,False
3492,Miller Ltd,millerltd.com,SMB,Education,East,2025-05-03,25,lead,,False,False
632,Mitchell-Arellano,mitchell-arellano.com,Enterprise,Healthcare,East,2024-05-04,23,lead,,False,False
2723,Fox-Mcdaniel,fox-mcdaniel.com,SMB,Retail,West,2024-12-01,32,lead,,False,False
1088,Brown-Vega,brown-vega.com,SMB,Healthcare,East,2024-01-02,24,lead,,False,False
2241,Perez-Garcia,perez-garcia.com,SMB,Education,South,2024-06-29,14,lead,,False,False
201,Yates Ltd,yatesltd.com,SMB,Healthcare,South,2023-08-05,49,lead,,False,False
2885,Aguirre PLC,aguirreplc.com,Mid-Market,Healthcare,East,2024-03-23,10,lead,,False,False
1398,Savage and Sons,savageandsons.com,SMB,Retail,South,2024-04-01,19,lead,,False,False
1754,Washington-Nguyen,washington-nguyen.com,SMB,Healthcare,International,2024-04-06,49,lead,,False,False
725,"Gomez, Bender and Smith",gomezbenderandsmith.com,SMB,FinTech,West,2023-08-02,31,lead,,False,False
3098,Shelton and Sons,sheltonandsons.com,SMB,Retail,South,2024-11-08,20,lead,,False,False
301,Lucas Inc,lucasinc.com,SMB,Healthcare,South,2024-07-31,12,lead,,False,False
2360,Cisneros Inc,cisnerosinc.com,SMB,Healthcare,East,2024-09-12,27,lead,,False,False
415,Lamb Ltd,lambltd.com,SMB,Education,North,2024-01-16,5,lead,,False,False
3445,"Nguyen, Mason and Campbell",nguyenmasonandcampbell.com,SMB,FinTech,South,2023-10-28,12,lead,,False,False
1773,Wu PLC,wuplc.com,Mid-Market,Education,North,2023-10-04,34,lead,,False,False
1836,Green-Lee,green-lee.com,Mid-Market,Education,East,2023-12-04,29,lead,,False,False
1330,Mcfarland-Smith,mcfarland-smith.com,SMB,Education,International,2024-10-04,43,lead,,False,False
1600,"Mooney, Norton and Campbell",mooneynortonandcampbell.com,SMB,Retail,South,2023-09-03,11,lead,,False,False
1585,Moore-Harrison,moore-harrison.com,SMB,Education,East,2024-02-21,24,lead,,False,False
450,"Mason, Castillo and Ramos",masoncastilloandramos.com,SMB,Education,West,2024-04-18,34,lead,,False,False
3,Martin-Coleman,martin-coleman.com,SMB,Retail,South,2024-10-17,18,lead,,False,False
3143,"Welch, Weaver and George",welchweaverandgeorge.com,Mid-Market,Retail,South,2023-07-25,18,lead,,False,False
663,"Daniels, White and Wood",danielswhiteandwood.com,SMB,Education,West,2023-10-08,34,lead,,False,False
871,"Allen, Friedman and Sanford",allenfriedmanandsanford.com,Mid-Market,Healthcare,South,2025-02-21,18,lead,,False,False
2449,Gibson-Davila,gibson-davila.com,SMB,Healthcare,East,2022-12-06,49,lead,,False,False
2040,Cooley PLC,cooleyplc.com,Mid-Market,Education,North,2024-04-14,2,lead,,False,False
2947,Patterson Inc,pattersoninc.com,SMB,Retail,West,2025-03-24,40,lead,,False,False
2786,"Sweeney, Chambers and Leon",sweeneychambersandleon.com,Mid-Market,FinTech,North,2024-08-03,6,lead,,False,False
2333,"Edwards, Walls and Mitchell",edwardswallsandmitchell.com,Mid-Market,FinTech,East,2024-08-13,21,lead,,False,False
1045,Bennett-Spencer,bennett-spencer.com,SMB,Education,South,2023-09-06,12,lead,,False,False
3069,Mitchell-Rodriguez,mitchell-rodriguez.com,SMB,Education,International,2025-01-28,43,lead,,False,False
2587,"Ponce, White and Sanders",poncewhiteandsanders.com,Enterprise,Education,East,2022-10-23,24,lead,,False,False
3081,"Payne, Brown and Curtis",paynebrownandcurtis.com,SMB,Education,East,2022-12-02,21,lead,,False,False
804,Hopkins-Baldwin,hopkins-baldwin.com,SMB,Healthcare,North,2025-03-13,3,lead,,False,False
